Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Leandro Trossard,19,be BEL,FW,30-122,90,43,1,4,18,22,8,43,2,0,0.0,2,100.0,26,220,83,3,4,3,3,0,33,6
Raheem Sterling,30,eng ENG,LW,30-118,45,24,0,4,7,14,3,24,4,1,25.0,2,50.0,14,132,69,3,1,0,2,1,14,6
Gabriel Martinelli,11,br BRA,LW,23-291,45,25,1,2,7,16,5,25,2,1,50.0,1,50.0,17,102,64,3,0,3,1,0,18,8
Ethan Nwaneri,53,eng ENG,RW,18-015,45,23,1,3,6,14,2,23,2,0,0.0,1,50.0,12,86,42,1,1,1,2,0,11,2
Bukayo Saka,7,eng ENG,RW,23-212,45,17,0,3,4,11,4,17,3,1,33.3,1,33.3,9,76,51,2,2,1,2,0,10,6
Mikel Merino,23,es ESP,LM,28-287,90,49,5,11,27,11,4,49,3,1,33.3,1,33.3,18,85,39,0,1,0,1,0,24,7
Jorginho,20,it ITA,CM,33-106,70,47,2,3,34,10,1,47,1,0,0.0,1,100.0,27,168,94,1,1,0,1,1,40,1
Martin Ødegaard,8,no NOR,RM,26-109,20,10,0,1,5,4,1,10,0,0,,0,,8,39,12,1,2,0,0,0,8,1
Declan Rice,41,eng ENG,"RM,CM",26-081,90,53,5,17,20,16,2,53,1,0,0.0,1,100.0,18,93,14,0,0,0,2,1,29,1
Myles Lewis-Skelly,49,eng ENG,LB,18-191,74,42,2,10,25,10,1,42,6,3,50.0,2,33.3,23,229,163,3,2,0,0,0,30,0
Kieran Tierney,3,sct SCO,LB,27-304,16,19,0,1,7,11,1,19,0,0,,0,,8,40,26,1,1,0,0,0,12,3
Jakub Kiwior,15,pl POL,CB,25-049,90,70,6,22,43,5,1,70,0,0,,0,,43,267,173,2,0,0,0,1,55,0
William Saliba,2,fr FRA,CB,24-012,90,91,9,46,40,5,2,91,1,1,100.0,0,0.0,52,248,138,1,0,1,1,0,64,0
Ben White,4,eng ENG,RB,27-179,60,41,4,14,18,9,4,41,0,0,,0,,15,57,33,0,0,0,0,0,21,1
Jurriën Timber,12,nl NED,RB,23-292,30,19,0,2,12,5,2,19,2,1,50.0,1,50.0,8,62,23,0,0,0,0,0,10,1
David Raya,22,es ESP,GK,29-202,90,48,25,45,3,0,0,48,0,0,,0,,27,117,63,0,0,0,0,0,31,0
