Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Kai Havertz,29,de GER,FW,25-074,90,0,0,0,4,1,0,0,1,1,0,0,0,3,0,4,0.0
Gabriel Martinelli,11,br BRA,LW,23-067,64,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,100.0
Leandro Trossard,19,be BEL,LW,29-264,26,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,
Bukayo Saka,7,eng ENG,RW,22-354,87,0,0,0,0,4,1,3,0,2,0,0,0,2,0,2,0.0
Reiss Nelson,24,eng ENG,RW,24-258,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Declan Rice,41,eng ENG,LM,25-223,90,1,0,0,1,0,0,3,1,1,0,0,0,6,2,1,66.7
Thomas Partey,5,gh GHA,CM,31-072,90,0,0,0,3,0,0,0,1,1,0,0,0,4,0,0,
Martin Ødegaard,8,no NOR,RM,25-251,90,1,0,0,1,1,0,3,1,1,0,0,0,2,0,0,
Jurriën Timber,12,nl NED,LB,23-068,78,0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,50.0
Riccardo Calafiori,33,it ITA,LB,22-097,12,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,
Gabriel Magalhães,6,br BRA,CB,26-249,90,1,0,0,0,0,0,0,1,0,0,0,0,6,1,0,100.0
William Saliba,2,fr FRA,CB,23-153,90,0,0,0,3,1,0,0,1,1,0,0,0,2,1,1,50.0
Ben White,4,eng ENG,RB,26-321,90,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,100.0
David Raya,22,es ESP,GK,28-344,90,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
