Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Kai Havertz,29,de GER,FW,25-074,90,31,0,4,9,18,4,31,2,0,0.0,2,100.0,20,56,28,1,0,1,2,2,24,5
Gabriel Martinelli,11,br BRA,LW,23-067,64,24,0,4,6,15,5,24,4,1,25.0,1,25.0,18,201,126,6,4,1,1,3,19,10
Leandro Trossard,19,be BEL,LW,29-264,26,13,0,1,3,9,4,13,1,0,0.0,1,100.0,8,104,53,3,2,1,0,1,8,2
Bukayo Saka,7,eng ENG,RW,22-354,87,42,0,2,3,37,6,42,1,0,0.0,1,100.0,35,185,115,2,1,1,2,2,37,13
Reiss Nelson,24,eng ENG,RW,24-258,3,2,0,1,1,0,0,2,0,0,,0,,1,4,4,0,0,0,0,0,1,0
Declan Rice,41,eng ENG,LM,25-223,90,41,3,6,22,13,2,41,3,1,33.3,2,66.7,22,115,57,2,0,0,0,1,26,5
Thomas Partey,5,gh GHA,CM,31-072,90,69,1,6,46,17,0,69,0,0,,0,,48,213,126,1,2,0,0,1,53,1
Martin Ødegaard,8,no NOR,RM,25-251,90,62,0,2,27,33,8,62,3,1,33.3,2,66.7,39,282,93,3,2,2,2,0,50,7
Jurriën Timber,12,nl NED,LB,23-068,78,46,2,9,31,6,1,46,1,1,100.0,0,0.0,28,165,65,1,0,0,2,0,33,1
Riccardo Calafiori,33,it ITA,LB,22-097,12,9,0,7,2,0,0,9,0,0,,0,,1,11,0,0,0,0,0,0,1,0
Gabriel Magalhães,6,br BRA,CB,26-249,90,94,12,39,51,5,0,94,1,1,100.0,0,0.0,60,310,225,0,0,0,0,1,70,0
William Saliba,2,fr FRA,CB,23-153,90,100,5,39,61,1,0,100,1,1,100.0,0,0.0,56,195,107,0,0,0,0,1,84,0
Ben White,4,eng ENG,RB,26-321,90,71,2,9,46,17,2,71,0,0,,0,,45,159,111,1,2,1,0,1,54,4
David Raya,22,es ESP,GK,28-344,90,31,21,30,1,0,0,31,0,0,,0,,20,99,64,0,0,0,0,0,14,0
