Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Kai Havertz,29,de GER,FW,25-176,90,23,0,0,10,13,2,23,1,0,0.0,1,100.0,13,29,7,0,0,0,0,1,19,5
Gabriel Martinelli,11,br BRA,LW,23-169,70,21,1,3,8,10,5,21,3,0,0.0,3,100.0,11,118,66,4,1,2,2,0,13,4
Leandro Trossard,19,be BEL,LW,30-000,20,12,0,0,2,10,4,12,3,1,33.3,2,66.7,10,96,42,1,2,2,0,1,9,3
Bukayo Saka,7,eng ENG,RW,23-090,90,38,1,2,6,30,6,38,4,2,50.0,2,50.0,20,137,87,3,0,2,1,3,25,8
Declan Rice,41,eng ENG,"LM,CM",25-325,90,55,1,12,25,19,1,55,0,0,,0,,23,222,98,2,2,0,0,0,31,0
Thomas Partey,5,gh GHA,"CM,RB",31-174,90,70,1,14,43,13,4,70,0,0,,0,,46,205,82,0,1,0,1,0,58,0
Martin Ødegaard,8,no NOR,RM,25-353,89,52,0,1,31,21,4,52,5,4,80.0,1,20.0,39,225,119,4,3,1,3,1,39,4
Jorginho,20,it ITA,RM,32-350,1,10,0,2,7,1,0,10,0,0,,0,,7,20,11,0,0,0,1,0,10,0
Oleksandr Zinchenko,17,ua UKR,LB,27-355,70,59,1,16,31,12,1,59,0,0,,0,,33,154,60,0,1,0,0,1,38,0
Mikel Merino,23,es ESP,LM,28-165,20,11,0,1,7,3,1,11,0,0,,0,,4,19,7,0,0,0,0,1,7,0
Jakub Kiwior,15,pl POL,CB,24-293,90,60,13,33,27,0,0,60,0,0,,0,,32,88,29,0,0,0,0,0,47,0
William Saliba,2,fr FRA,CB,23-255,90,76,2,35,39,2,1,76,0,0,,0,,40,151,78,0,0,0,1,0,57,0
Jurriën Timber,12,nl NED,"RB,LB",23-170,90,55,1,13,26,17,4,55,1,0,0.0,1,100.0,26,115,54,1,1,0,1,1,34,3
David Raya,22,es ESP,GK,29-080,90,46,23,45,1,0,0,46,0,0,,0,,30,114,65,0,0,0,0,0,37,0
