Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Leandro Trossard,19,be BEL,"FW,LW",30-073,88,17,17,0,0,0,0,2,0,0,0,0,0,13,0,0
Kieran Tierney,3,sct SCO,LW,27-255,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Raheem Sterling,30,eng ENG,LW,30-069,68,26,25,0,0,0,1,1,0,0,0,0,0,19,1,1
Mikel Merino,23,es ESP,FW,28-238,22,9,9,0,0,0,0,0,0,0,0,0,0,6,0,0
Ethan Nwaneri,53,eng ENG,RW,17-331,90,44,39,4,0,0,0,10,0,4,4,0,0,33,1,0
Declan Rice,41,eng ENG,LM,26-032,90,33,29,4,0,0,0,3,0,3,3,0,0,25,0,0
Thomas Partey,5,gh GHA,CM,31-247,75,56,56,0,0,0,1,0,0,0,0,0,0,49,0,1
Jorginho,20,it ITA,CM,33-057,15,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0
Martin Ødegaard,8,no NOR,RM,26-060,90,73,68,4,3,4,1,1,1,0,0,0,0,64,1,0
Myles Lewis-Skelly,49,eng ENG,LB,18-142,75,50,37,12,1,1,1,0,11,0,0,0,0,43,1,0
Riccardo Calafiori,33,it ITA,LB,22-272,15,9,7,2,0,0,0,0,2,0,0,0,0,7,0,1
Gabriel Magalhães,6,br BRA,CB,27-058,90,55,54,1,0,0,0,0,0,0,0,0,0,44,0,1
William Saliba,2,fr FRA,CB,23-328,90,70,66,4,2,0,0,0,2,0,0,0,0,63,0,0
Jurriën Timber,12,nl NED,RB,23-243,90,56,47,9,2,1,1,1,7,0,0,0,0,45,0,0
David Raya,22,es ESP,GK,29-153,90,36,31,5,2,0,1,0,0,0,0,0,0,33,0,0
