Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Mikel Merino,23,es ESP,FW,28-267,90,20,0,1,8,11,4,20,0,0,,0,,7,24,10,0,0,0,1,2,14,2
Leandro Trossard,19,be BEL,"LW,LM",30-102,90,35,0,2,13,20,5,35,3,0,0.0,1,33.3,21,133,61,3,2,0,2,0,24,7
Gabriel Martinelli,11,br BRA,RW,23-271,78,36,0,4,8,26,5,36,6,2,33.3,3,50.0,28,212,102,4,2,3,3,1,27,9
Ethan Nwaneri,53,eng ENG,"RW,RM",17-360,12,6,0,3,4,0,0,6,1,1,100.0,0,0.0,3,51,33,1,0,0,0,1,2,0
Declan Rice,41,eng ENG,"LM,CM",26-061,90,35,4,8,10,18,4,35,0,0,,0,,11,66,35,1,1,0,2,0,22,4
Thomas Partey,5,gh GHA,CM,31-276,90,48,1,11,30,8,0,48,1,1,100.0,0,0.0,27,173,85,1,2,0,1,0,34,3
Martin Ødegaard,8,no NOR,RM,26-089,89,50,1,5,22,24,3,50,2,1,50.0,1,50.0,29,157,82,2,3,0,1,0,34,6
Kieran Tierney,3,sct SCO,RB,27-284,1,3,0,0,2,1,0,3,0,0,,0,,1,0,0,0,0,0,1,0,2,0
Myles Lewis-Skelly,49,eng ENG,LB,18-171,90,36,0,7,15,14,1,36,0,0,,0,,14,100,54,2,1,1,1,0,19,1
Gabriel Magalhães,6,br BRA,CB,27-087,90,58,5,28,28,3,0,58,0,0,,0,,30,118,69,1,1,0,1,0,39,0
William Saliba,2,fr FRA,CB,23-357,90,68,5,36,26,6,0,68,1,0,0.0,1,100.0,37,149,84,0,0,0,2,0,49,0
Jurriën Timber,12,nl NED,"RB,CB",23-272,90,56,0,13,27,17,4,56,2,1,50.0,1,50.0,21,87,56,3,0,2,1,2,25,5
David Raya,22,es ESP,GK,29-182,90,41,20,40,1,0,0,41,0,0,,0,,26,183,104,0,0,0,0,0,29,0
