Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Kai Havertz,29,de GER,FW,25-152,90,12,11,0,0,0,0,0,0,0,0,0,0,9,1,0
Gabriel Martinelli,11,br BRA,LW,23-145,70,17,17,0,0,0,0,4,0,0,0,0,0,11,0,1
Leandro Trossard,19,be BEL,LW,29-342,20,8,8,0,0,0,0,1,0,0,0,0,0,5,0,0
Bukayo Saka,7,eng ENG,RW,23-066,80,21,19,1,0,0,0,3,0,1,1,0,0,14,1,1
Gabriel Jesus,9,br BRA,RW,27-221,10,10,10,0,0,0,0,0,0,0,0,0,0,8,0,1
Declan Rice,41,eng ENG,LM,25-301,70,42,36,5,3,0,1,4,0,1,1,0,0,33,1,0
Mikel Merino,23,es ESP,LM,28-141,20,19,18,1,1,0,0,0,0,0,0,0,0,16,0,1
Thomas Partey,5,gh GHA,CM,31-150,90,65,62,2,1,1,0,0,1,0,0,0,0,58,1,0
Martin Ødegaard,8,no NOR,RM,25-329,90,40,35,4,2,1,0,1,0,1,0,0,0,36,1,1
Jurriën Timber,12,nl NED,LB,23-146,90,23,16,7,0,0,0,1,7,0,0,0,0,19,0,0
Gabriel Magalhães,6,br BRA,CB,26-327,90,67,60,7,2,0,0,2,0,0,0,0,0,59,0,1
William Saliba,2,fr FRA,CB,23-231,90,67,67,0,0,0,0,0,0,0,0,0,0,62,0,1
Ben White,4,eng ENG,RB,27-033,90,46,35,10,0,0,0,1,10,0,0,0,0,37,1,0
David Raya,22,es ESP,GK,29-056,90,37,32,4,2,0,0,0,0,0,0,0,0,33,1,0
