Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Gabriel Jesus,9,br BRA,FW,27-234,90,1,0,0,1,0,2,0,0,1,0,0,0,1,1,3,25.0
Leandro Trossard,19,be BEL,LW,29-355,90,0,0,0,1,3,0,7,0,1,0,0,0,3,0,1,0.0
Bukayo Saka,7,eng ENG,RW,23-079,82,1,0,0,1,2,0,5,0,0,0,0,0,5,0,1,0.0
Raheem Sterling,30,eng ENG,RW,29-351,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Mikel Merino,23,es ESP,LM,28-154,90,0,0,0,4,1,1,1,2,2,0,0,0,6,2,2,50.0
Jorginho,20,it ITA,CM,32-339,45,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,
Thomas Partey,5,gh GHA,CM,31-163,45,0,0,0,0,0,0,0,1,4,0,0,0,2,0,1,0.0
Martin Ødegaard,8,no NOR,RM,25-342,82,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,
Ethan Nwaneri,53,eng ENG,RM,17-247,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
Riccardo Calafiori,33,it ITA,LB,22-188,66,0,0,0,0,0,0,0,1,2,0,0,0,2,1,3,25.0
Oleksandr Zinchenko,17,ua UKR,LB,27-344,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Gabriel Magalhães,6,br BRA,CB,26-340,90,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,75.0
William Saliba,2,fr FRA,"CB,RB",23-244,90,0,0,0,0,1,0,0,0,2,0,0,0,3,1,2,33.3
Jurriën Timber,12,nl NED,RB,23-159,87,0,0,0,0,2,1,2,0,0,0,0,0,2,1,0,100.0
Jakub Kiwior,15,pl POL,CB,24-282,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
David Raya,22,es ESP,GK,29-069,90,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,100.0
