Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Leandro Trossard,19,be BEL,"FW,LM",29-328,90,2,1,0,1,1,0,0,,0,2,0,2,0,2,1,0
Kai Havertz,29,de GER,FW,25-138,90,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0
Gabriel Martinelli,11,br BRA,LM,23-131,84,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
Ethan Nwaneri,53,eng ENG,FW,17-220,6,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Mikel Merino,23,es ESP,CM,28-127,90,3,2,1,1,1,0,1,0.0,1,1,0,1,1,4,0,1
Declan Rice,41,eng ENG,CM,25-287,90,2,1,0,2,0,0,0,,0,1,1,0,2,4,1,0
Bukayo Saka,7,eng ENG,RM,23-052,84,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0
Gabriel Jesus,9,br BRA,RM,27-207,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jurriën Timber,12,nl NED,LB,23-132,75,2,0,1,0,1,0,3,0.0,3,1,0,1,0,2,4,0
Myles Lewis-Skelly,49,eng ENG,LB,18-031,15,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
Gabriel Magalhães,6,br BRA,CB,26-313,53,0,0,0,0,0,0,0,,0,0,0,0,2,2,1,0
Jakub Kiwior,15,pl POL,CB,24-255,37,0,0,0,0,0,0,0,,0,1,0,1,0,0,5,0
Ben White,4,eng ENG,CB,27-019,90,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,6,0
Thomas Partey,5,gh GHA,RB,31-136,90,5,4,2,2,1,3,5,60.0,2,1,1,0,1,6,6,0
David Raya,22,es ESP,GK,29-042,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
