Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Leandro Trossard,19,be BEL,"FW,LM",29-328,90,0,0,0,1,2,0,1,0,1,0,0,0,3,0,3,0.0
Kai Havertz,29,de GER,FW,25-138,90,0,0,0,1,1,0,0,0,0,0,0,0,0,2,3,40.0
Gabriel Martinelli,11,br BRA,LM,23-131,84,0,0,0,0,0,0,4,0,1,0,0,0,5,1,0,100.0
Ethan Nwaneri,53,eng ENG,FW,17-220,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Mikel Merino,23,es ESP,CM,28-127,90,0,0,0,4,0,1,0,1,2,0,0,0,4,4,3,57.1
Declan Rice,41,eng ENG,CM,25-287,90,0,0,0,2,0,0,3,2,1,0,0,0,5,1,1,50.0
Bukayo Saka,7,eng ENG,RM,23-052,84,0,0,0,1,2,0,3,0,1,0,0,0,5,2,0,100.0
Gabriel Jesus,9,br BRA,RM,27-207,6,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
Jurriën Timber,12,nl NED,LB,23-132,75,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,
Myles Lewis-Skelly,49,eng ENG,LB,18-031,15,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
Gabriel Magalhães,6,br BRA,CB,26-313,53,0,0,0,0,3,0,0,2,0,0,0,0,2,2,0,100.0
Jakub Kiwior,15,pl POL,CB,24-255,37,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
Ben White,4,eng ENG,CB,27-019,90,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,100.0
Thomas Partey,5,gh GHA,RB,31-136,90,0,0,0,2,4,0,0,1,4,0,0,0,3,4,1,80.0
David Raya,22,es ESP,GK,29-042,90,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
