Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Leandro Trossard,19,be BEL,"FW,LM",29-328,90,32,2,5,11,16,2,32,1,1,100.0,0,0.0,18,142,72,2,0,2,1,1,21,3
Kai Havertz,29,de GER,FW,25-138,90,40,2,2,13,25,7,40,3,0,0.0,3,100.0,16,106,30,2,2,2,3,1,34,5
Gabriel Martinelli,11,br BRA,LM,23-131,84,35,1,3,8,25,5,35,2,2,100.0,0,0.0,20,169,122,5,2,3,2,3,26,14
Ethan Nwaneri,53,eng ENG,FW,17-220,6,5,0,1,0,4,1,5,0,0,,0,,2,17,0,0,0,0,1,0,2,0
Mikel Merino,23,es ESP,CM,28-127,90,43,1,4,22,17,4,43,0,0,,0,,19,113,54,1,2,0,3,2,32,6
Declan Rice,41,eng ENG,CM,25-287,90,60,3,8,36,18,1,60,0,0,,0,,21,190,94,3,5,0,0,1,33,2
Bukayo Saka,7,eng ENG,RM,23-052,84,36,1,5,14,17,3,36,4,2,50.0,1,25.0,21,172,78,2,0,2,4,0,27,5
Gabriel Jesus,9,br BRA,RM,27-207,6,6,0,0,0,6,4,6,2,1,50.0,1,50.0,4,10,5,0,0,0,0,0,2,1
Jurriën Timber,12,nl NED,LB,23-132,75,30,5,13,9,8,1,30,0,0,,0,,11,69,38,2,0,0,1,0,13,2
Myles Lewis-Skelly,49,eng ENG,LB,18-031,15,13,1,6,2,5,1,13,0,0,,0,,4,21,17,1,0,0,0,0,6,1
Gabriel Magalhães,6,br BRA,CB,26-313,53,34,4,13,20,1,0,34,0,0,,0,,15,54,21,0,0,0,0,0,22,0
Jakub Kiwior,15,pl POL,CB,24-255,37,15,5,7,6,2,0,15,0,0,,0,,4,7,3,0,0,0,0,0,7,0
Ben White,4,eng ENG,CB,27-019,90,58,11,29,27,3,0,58,0,0,,0,,27,90,40,0,0,0,0,0,37,0
Thomas Partey,5,gh GHA,RB,31-136,90,70,5,16,39,15,0,70,1,0,0.0,1,100.0,26,174,56,1,2,0,2,2,37,0
David Raya,22,es ESP,GK,29-042,90,37,24,37,0,0,0,37,0,0,,0,,22,100,54,0,0,0,0,0,21,0
