Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Leandro Trossard,19,be BEL,FW,29-286,79,0,0,0,0,2,0,0,1,1,0,0,0,3,0,0,
Gabriel Jesus,9,br BRA,"RW,FW",27-165,11,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.0
Kai Havertz,29,de GER,"FW,LM",25-096,90,0,0,0,1,1,1,0,1,1,0,0,0,2,8,5,61.5
Gabriel Martinelli,11,br BRA,LM,23-089,79,0,0,0,1,1,1,3,0,3,0,0,0,6,1,1,50.0
Raheem Sterling,30,eng ENG,LW,29-282,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jorginho,20,it ITA,CM,32-270,90,1,0,0,2,1,0,0,0,0,0,0,0,5,1,0,100.0
Thomas Partey,5,gh GHA,"CM,RM",31-094,90,0,0,0,0,2,0,0,2,1,0,0,0,3,2,0,100.0
Bukayo Saka,7,eng ENG,"RM,RW",23-010,85,0,0,0,0,1,0,7,0,2,0,0,0,3,0,1,0.0
Ethan Nwaneri,53,eng ENG,FW,17-178,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Jurriën Timber,12,nl NED,LB,23-090,90,1,0,0,2,0,0,2,1,2,0,0,0,5,0,4,0.0
Gabriel Magalhães,6,br BRA,CB,26-271,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
William Saliba,2,fr FRA,CB,23-175,90,1,0,0,2,2,0,0,0,1,0,0,0,3,1,1,50.0
Ben White,4,eng ENG,RB,26-343,90,0,0,0,1,1,1,1,2,1,0,0,0,0,1,1,50.0
David Raya,22,es ESP,GK,29-000,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
