Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Ollie Watkins,11,eng ENG,FW,28-337,83,10,9,0,0,0,0,0,0,0,0,0,0,8,1,1
Emi Buendía,10,ar ARG,"LM,FW",27-342,7,3,2,1,1,0,0,0,0,0,0,0,0,3,0,0
John McGinn,7,sct SCO,"LW,LM,FW",30-044,90,20,19,1,0,0,0,1,1,0,0,0,0,17,0,0
Jaden Philogene Bidace,19,eng ENG,RW,22-297,65,8,8,0,0,1,0,0,0,0,0,0,0,5,0,1
Leon Bailey,31,jm JAM,RM,27-114,25,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1
Morgan Rogers,27,eng ENG,AM,22-128,65,14,11,3,0,1,0,0,0,0,0,0,0,10,0,1
Jáder Durán,9,co COL,FW,20-354,25,7,6,1,0,0,0,0,0,0,0,0,0,5,0,0
Youri Tielemans,8,be BEL,"DM,CM",27-208,90,49,44,5,2,3,0,3,0,3,0,3,0,41,0,0
Boubacar Kamara,44,fr FRA,DM,25-008,61,21,20,1,1,0,0,0,0,0,0,0,0,19,0,0
Ross Barkley,6,eng ENG,"CM,DM",30-362,29,14,13,1,1,0,0,0,0,0,0,0,0,10,0,2
Lucas Digne,12,fr FRA,LB,31-134,90,36,27,9,3,0,0,3,5,1,0,1,0,27,0,2
Pau Torres,14,es ESP,CB,27-320,90,73,61,12,8,0,0,0,0,0,0,0,0,66,0,0
Ezri Konsa,4,eng ENG,CB,27-039,90,37,35,2,2,0,0,0,0,0,0,0,0,35,0,0
Matty Cash,2,pl POL,RB,27-116,90,25,21,4,2,0,0,0,2,0,0,0,0,19,0,1
Emiliano Martínez,23,ar ARG,GK,32-090,45,28,23,5,3,0,0,0,0,0,0,0,0,24,0,0
Robin Olsen,25,se SWE,GK,34-328,45,21,18,3,1,0,0,0,0,0,0,0,0,16,0,0
