Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Jáder Durán,9,co COL,FW,20-360,57,0,0,0,1,0,0,1,0,2,0,0,0,1,1,0,100.0
Ollie Watkins,11,eng ENG,FW,28-343,33,0,0,0,1,3,0,0,0,1,0,0,0,1,1,1,50.0
Morgan Rogers,27,eng ENG,LW,22-134,90,1,0,0,2,1,0,0,0,1,0,0,0,3,1,2,33.3
Leon Bailey,31,jm JAM,RW,27-120,58,0,0,0,0,3,0,4,0,0,0,0,0,2,0,1,0.0
Jaden Philogene Bidace,19,eng ENG,RW,22-303,32,0,0,0,1,0,0,1,0,1,0,0,0,6,0,0,
John McGinn,7,sct SCO,AM,30-050,90,0,0,0,3,4,0,4,0,1,0,0,0,3,0,0,
Youri Tielemans,8,be BEL,DM,27-214,58,0,0,0,1,1,0,2,0,2,0,0,0,5,0,0,
Ross Barkley,6,eng ENG,DM,31-002,32,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,
Boubacar Kamara,44,fr FRA,DM,25-014,90,0,0,0,5,2,0,0,4,1,0,0,0,6,0,1,0.0
Ian Maatsen,22,nl NED,LB,22-272,57,0,0,0,1,1,0,2,2,3,0,0,0,5,0,1,0.0
Lucas Digne,12,fr FRA,LB,31-140,33,0,0,0,0,0,0,10,2,1,0,0,0,3,0,0,
Pau Torres,14,es ESP,CB,27-326,90,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,100.0
Diego Carlos,3,br BRA,CB,31-267,90,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,80.0
Ezri Konsa,4,eng ENG,RB,27-045,90,0,0,0,0,0,0,1,0,1,0,0,0,4,0,1,0.0
Emiliano Martínez,23,ar ARG,GK,32-096,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
