Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Ollie Watkins,11,eng ENG,FW,29-047,90,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Jacob Ramsey,41,eng ENG,LW,23-263,45,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0
Marcus Rashford,9,eng ENG,LW,27-107,45,3,1,0,0,3,1,1,100.0,0,0,0,0,0,3,0,0
Donyell Malen,17,nl NED,RW,26-037,62,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
Marco Asensio,21,es ESP,RW,29-025,28,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Morgan Rogers,27,eng ENG,AM,22-204,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Youri Tielemans,8,be BEL,DM,27-284,90,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0
John McGinn,7,sct SCO,DM,30-120,90,2,1,1,1,0,2,5,40.0,3,0,0,0,2,4,1,0
Lucas Digne,12,fr FRA,LB,31-210,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Ian Maatsen,22,nl NED,LB,22-342,45,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,1,0
Boubacar Kamara,44,fr FRA,CB,25-084,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Tyrone Mings,5,eng ENG,CB,31-339,75,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0
Axel Disasi,3,fr FRA,CB,26-341,90,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,3,0
Andrés García,16,es ESP,RB,22-008,90,3,3,2,1,0,1,1,100.0,0,1,0,1,0,3,1,0
Emiliano Martínez,23,ar ARG,GK,32-166,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
