Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Ollie Watkins,11,eng ENG,FW,29-047,90,14,14,0,0,0,0,0,0,0,0,0,0,11,0,0
Jacob Ramsey,41,eng ENG,LW,23-263,45,29,29,0,0,0,0,0,0,0,0,0,0,26,0,0
Marcus Rashford,9,eng ENG,LW,27-107,45,45,36,8,0,1,0,8,1,7,5,0,0,32,1,3
Donyell Malen,17,nl NED,RW,26-037,62,15,14,1,0,0,0,1,1,0,0,0,0,11,0,1
Marco Asensio,21,es ESP,RW,29-025,28,22,17,5,0,0,0,3,0,5,1,0,0,19,0,0
Morgan Rogers,27,eng ENG,AM,22-204,90,33,31,2,0,0,0,1,0,0,0,0,0,25,0,1
Youri Tielemans,8,be BEL,DM,27-284,90,102,93,9,6,0,0,4,0,3,2,0,0,90,0,1
John McGinn,7,sct SCO,DM,30-120,90,80,79,1,1,0,1,0,0,0,0,0,0,73,0,0
Lucas Digne,12,fr FRA,LB,31-210,45,39,35,4,1,0,0,4,2,1,0,0,0,33,0,0
Ian Maatsen,22,nl NED,LB,22-342,45,47,44,3,0,0,0,3,3,0,0,0,0,42,0,2
Boubacar Kamara,44,fr FRA,CB,25-084,15,28,27,1,0,0,0,0,0,0,0,0,0,24,0,1
Tyrone Mings,5,eng ENG,CB,31-339,75,73,70,3,3,0,0,0,0,0,0,0,0,67,0,0
Axel Disasi,3,fr FRA,CB,26-341,90,84,82,1,1,1,0,0,0,0,0,0,0,77,1,0
Andrés García,16,es ESP,RB,22-008,90,73,68,5,0,0,0,8,5,0,0,0,0,64,0,2
Emiliano Martínez,23,ar ARG,GK,32-166,90,31,29,2,1,0,0,0,0,0,0,0,0,28,0,0
