Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Ollie Watkins,11,eng ENG,FW,29-016,90,0,0,0,1,0,1,0,0,0,0,0,0,4,2,3,40.0
Jacob Ramsey,41,eng ENG,LW,23-232,80,0,0,0,1,4,0,0,0,4,0,0,0,5,2,0,100.0
Emi Buendía,10,ar ARG,LW,28-021,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
Morgan Rogers,27,eng ENG,RW,22-173,90,0,0,0,2,1,0,1,0,1,0,0,0,4,0,2,0.0
Youri Tielemans,8,be BEL,AM,27-253,90,0,0,0,2,0,0,5,1,5,0,0,0,5,1,2,33.3
Amadou Onana,24,be BEL,DM,23-152,90,1,0,0,3,2,0,0,1,2,0,0,0,6,3,1,75.0
Boubacar Kamara,44,fr FRA,DM,25-053,90,0,0,0,1,5,0,0,3,1,0,0,0,3,3,0,100.0
Lucas Digne,12,fr FRA,LB,31-179,90,0,0,0,0,3,0,3,1,1,0,0,0,6,2,0,100.0
Tyrone Mings,5,eng ENG,CB,31-308,90,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,25.0
Ezri Konsa,4,eng ENG,CB,27-084,90,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,66.7
Matty Cash,2,pl POL,RB,27-161,90,0,0,0,0,0,0,1,3,2,0,0,0,3,2,1,66.7
Emiliano Martínez,23,ar ARG,GK,32-135,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
