Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Ollie Watkins,11,eng ENG,FW,29-068,90,0,0,0,0,0,1,0,0,0,0,0,0,2,2,5,28.6
Jacob Ramsey,41,eng ENG,LW,23-284,67,0,0,0,1,1,0,2,0,0,0,0,0,2,0,2,0.0
Marcus Rashford,9,eng ENG,LW,27-128,23,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
Leon Bailey,31,jm JAM,RW,27-211,45,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0.0
Matty Cash,2,pl POL,RW,27-213,45,1,0,0,1,0,0,0,0,0,0,0,0,1,2,4,33.3
Morgan Rogers,27,eng ENG,AM,22-225,89,0,0,0,0,2,0,0,0,1,0,0,0,6,0,3,0.0
Donyell Malen,17,nl NED,AM,26-058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Youri Tielemans,8,be BEL,DM,27-305,90,0,0,0,0,1,0,3,0,0,0,0,0,1,1,0,100.0
John McGinn,7,sct SCO,DM,30-141,60,1,0,0,2,1,0,2,0,0,0,0,0,1,1,1,50.0
Boubacar Kamara,44,fr FRA,DM,25-105,30,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0
Lucas Digne,12,fr FRA,LB,31-231,90,0,0,0,0,0,0,3,0,1,0,0,0,2,1,2,33.3
Tyrone Mings,5,eng ENG,CB,31-360,90,0,0,0,0,1,0,1,3,0,0,0,0,6,3,1,75.0
Ezri Konsa,4,eng ENG,CB,27-136,90,0,0,0,0,2,0,0,0,0,0,0,0,6,3,1,75.0
Axel Disasi,3,fr FRA,RB,26-362,90,0,0,0,0,1,2,1,2,2,0,0,0,1,2,2,50.0
Robin Olsen,25,se SWE,GK,35-059,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
