Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Ollie Watkins,11,eng ENG,FW,28-329,90,12,12,0,0,0,0,1,0,0,0,0,0,9,0,0
John McGinn,7,sct SCO,LW,30-036,68,30,28,2,1,1,0,2,0,0,0,0,0,25,0,1
Jáder Durán,9,co COL,LW,20-346,22,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Leon Bailey,31,jm JAM,RW,27-106,81,32,29,3,0,0,0,4,0,3,2,0,0,22,0,2
Jaden Philogene Bidace,19,eng ENG,RW,22-289,9,4,4,0,0,0,0,1,0,0,0,0,0,1,0,1
Morgan Rogers,27,eng ENG,AM,22-120,81,31,28,3,0,1,0,0,1,0,0,0,0,20,0,3
Emi Buendía,10,ar ARG,AM,27-334,9,8,8,0,0,0,0,0,0,0,0,0,0,5,0,0
Youri Tielemans,8,be BEL,DM,27-200,90,94,85,8,1,0,0,7,0,7,6,0,0,81,1,1
Ross Barkley,6,eng ENG,DM,30-354,90,62,58,4,3,0,0,0,1,0,0,0,0,49,0,3
Ian Maatsen,22,nl NED,LB,22-258,68,51,47,4,1,0,0,4,3,0,0,0,0,44,0,0
Lucas Digne,12,fr FRA,LB,31-126,22,22,20,2,0,0,0,1,2,0,0,0,0,16,0,1
Pau Torres,14,es ESP,CB,27-312,90,93,86,7,4,0,0,0,0,0,0,0,0,85,0,0
Diego Carlos,3,br BRA,CB,31-253,90,94,92,2,2,0,1,0,0,0,0,0,0,85,0,0
Lamare Bogarde,26,nl NED,RB,20-323,45,39,35,4,0,0,0,0,4,0,0,0,0,34,0,1
Matty Cash,2,pl POL,RB,27-108,45,46,41,5,0,0,0,0,5,0,0,0,0,40,0,0
Emiliano Martínez,23,ar ARG,GK,32-082,90,37,32,5,0,0,0,0,0,0,0,0,0,35,0,0
