Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Ollie Watkins,11,eng ENG,FW,28-281,90,21,0,0,6,15,6,21,1,0,0.0,1,100.0,14,75,39,2,0,1,1,3,15,8
Jaden Philogene Bidace,19,eng ENG,"LW,RM",22-241,90,26,1,5,8,13,2,26,2,1,50.0,1,50.0,14,75,26,0,1,0,1,0,14,4
Leon Bailey,31,jm JAM,RW,27-058,62,27,0,9,7,12,2,27,4,1,25.0,2,50.0,24,119,56,2,0,1,2,2,24,4
Jáder Durán,9,co COL,FW,20-298,28,15,1,3,4,9,5,15,3,1,33.3,2,66.7,9,78,47,2,0,0,1,0,9,2
Morgan Rogers,27,eng ENG,"AM,LM",22-072,90,35,2,5,15,16,3,35,4,2,50.0,1,25.0,29,166,57,2,2,2,3,4,27,6
Youri Tielemans,8,be BEL,"DM,CM",27-152,90,67,4,18,31,19,1,67,1,0,0.0,1,100.0,40,98,44,0,1,0,0,1,38,1
Ross Barkley,6,eng ENG,"DM,CM",30-306,90,51,2,10,31,12,2,51,1,1,100.0,0,0.0,34,166,83,3,4,1,2,0,33,1
Lucas Digne,12,fr FRA,LB,31-078,84,60,4,19,20,21,0,60,0,0,,0,,32,124,63,2,0,0,1,2,26,7
Ian Maatsen,22,nl NED,LB,22-210,6,8,0,1,2,5,1,8,0,0,,0,,2,13,8,1,0,0,0,0,3,1
Pau Torres,14,es ESP,CB,27-264,90,65,4,25,38,2,0,65,0,0,,0,,51,326,253,3,1,0,1,0,50,1
Ezri Konsa,4,eng ENG,CB,26-349,11,10,1,3,7,0,0,10,0,0,,0,,10,62,19,0,0,0,0,0,10,0
Diego Carlos,3,br BRA,CB,31-205,79,59,11,30,29,0,0,59,0,0,,0,,43,157,71,0,0,0,0,0,44,0
Matty Cash,2,pl POL,RB,27-060,90,60,3,20,25,15,2,60,2,1,50.0,1,50.0,38,279,136,4,5,0,0,0,36,3
Emiliano Martínez,23,ar ARG,GK,32-034,90,37,25,37,0,0,0,37,0,0,,0,,23,125,80,0,0,0,0,0,20,0
