Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Ollie Watkins,11,eng ENG,FW,28-266,89,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,100.0
Emi Buendía,10,ar ARG,FW,27-271,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Jacob Ramsey,41,eng ENG,LW,23-116,61,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,
Jáder Durán,9,co COL,LW,20-283,29,0,0,0,1,2,0,0,0,1,0,0,0,0,0,2,0.0
John McGinn,7,sct SCO,RW,29-339,45,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0.0
Ian Maatsen,22,nl NED,LB,22-195,45,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,100.0
Morgan Rogers,27,eng ENG,AM,22-057,90,1,0,0,2,0,0,0,1,1,0,0,0,6,0,1,0.0
Youri Tielemans,8,be BEL,DM,27-137,90,0,0,0,2,3,0,9,0,2,0,0,0,2,0,0,
Amadou Onana,24,be BEL,DM,23-036,61,0,0,0,1,1,0,0,0,3,0,0,0,4,1,3,25.0
Ross Barkley,6,eng ENG,DM,30-291,29,1,0,0,1,0,0,0,1,1,0,0,0,2,0,0,
Lucas Digne,12,fr FRA,LB,31-063,45,0,0,0,2,1,1,2,0,0,0,0,0,4,1,1,50.0
Leon Bailey,31,jm JAM,RW,27-043,45,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,
Pau Torres,14,es ESP,CB,27-249,90,1,0,0,0,1,0,0,0,0,0,0,0,1,2,2,50.0
Diego Carlos,3,br BRA,CB,31-190,90,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,100.0
Ezri Konsa,4,eng ENG,RB,26-334,90,0,0,0,0,2,0,1,1,2,0,0,0,5,0,0,
Emiliano Martínez,23,ar ARG,GK,32-019,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
