Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Antoine Semenyo,24,gh GHA,"LW,RW,FW",24-223,90,48,1,3,14,32,5,48,3,1,33.3,2,66.7,29,247,61,2,2,1,2,3,37,10
Luis Sinisterra,17,co COL,"FW,LW",25-061,62,26,2,4,8,14,3,26,3,1,33.3,1,33.3,16,85,28,2,0,1,2,1,14,6
Justin Kluivert,19,nl NED,"LW,FW",25-104,28,17,0,1,6,11,3,17,2,1,50.0,1,50.0,13,110,56,2,0,1,0,0,12,6
Dango Ouattara,11,bf BFA,RW,22-188,68,39,2,7,15,17,3,39,3,1,33.3,2,66.7,14,96,48,3,0,0,1,2,21,7
Daniel Jebbison,21,ca CAN,FW,21-004,22,7,1,1,3,3,1,7,0,0,,0,,6,40,19,1,0,1,1,1,8,1
Marcus Tavernier,16,eng ENG,"AM,DM",25-148,90,58,2,8,23,28,4,58,2,0,0.0,2,100.0,28,149,85,2,5,1,0,2,35,9
Lewis Cook,4,eng ENG,DM,27-196,83,54,4,17,25,12,0,54,0,0,,0,,20,100,47,1,0,0,0,1,23,0
Philip Billing,29,dk DEN,AM,28-067,7,4,0,1,2,1,1,4,0,0,,0,,2,4,0,0,0,0,0,2,3,1
Alex Scott,14,eng ENG,DM,20-362,62,41,3,10,23,9,0,41,2,0,0.0,1,50.0,20,99,31,0,0,0,1,2,21,3
Ryan Christie,10,sct SCO,DM,29-177,28,32,2,7,20,6,1,32,2,1,50.0,1,50.0,18,105,39,1,2,0,1,0,17,2
Milos Kerkez,3,hu HUN,LB,20-284,90,62,1,14,35,14,1,62,0,0,,0,,33,211,145,4,2,0,0,0,40,2
Dean Huijsen,2,es ESP,CB,19-125,90,78,7,40,37,2,0,78,0,0,,0,,46,248,171,0,0,0,0,0,50,0
Illia Zabarnyi,27,ua UKR,CB,21-351,90,70,10,34,35,1,0,70,1,0,0.0,0,0.0,39,321,242,0,1,0,0,0,43,0
Adam Smith,15,eng ENG,RB,33-110,62,27,1,9,12,6,0,27,2,0,0.0,0,0.0,13,68,35,0,0,0,0,0,9,0
Julian Araujo,28,mx MEX,RB,23-004,28,26,2,6,16,4,0,26,0,0,,0,,11,34,20,0,0,0,0,0,11,2
Neto,1,br BRA,GK,35-029,90,39,33,39,0,0,0,39,0,0,,0,,19,75,58,0,0,0,0,0,15,0
