Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Evanilson,9,br BRA,FW,24-324,71,11,10,1,0,0,0,0,0,0,0,0,0,6,0,3
Luis Sinisterra,17,co COL,"FW,AM",25-069,19,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0
Marcus Tavernier,16,eng ENG,"LW,AM",25-156,84,32,26,6,0,0,0,4,2,3,3,0,0,25,0,2
Daniel Jebbison,21,eng ENG,FW,21-012,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antoine Semenyo,24,gh GHA,RW,24-231,90,25,25,0,0,0,0,0,0,0,0,0,0,24,0,0
Justin Kluivert,19,nl NED,AM,25-112,71,21,21,0,0,0,0,3,0,0,0,0,0,15,0,1
Dango Ouattara,11,bf BFA,LW,22-196,19,6,6,0,0,0,0,2,0,0,0,0,0,2,0,0
Ryan Christie,10,sct SCO,DM,29-185,63,21,21,0,0,0,0,0,0,0,0,0,0,19,0,0
Alex Scott,14,eng ENG,DM,21-004,27,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Lewis Cook,4,eng ENG,DM,27-204,90,50,42,8,3,0,0,7,0,5,3,1,0,35,0,1
Milos Kerkez,3,hu HUN,LB,20-292,90,37,30,7,0,0,0,1,7,0,0,0,0,25,0,1
Marcos Senesi,5,ar ARG,CB,27-107,90,39,36,3,2,0,0,1,1,0,0,0,0,28,0,0
Illia Zabarnyi,27,ua UKR,CB,21-359,90,42,42,0,0,0,0,0,0,0,0,0,0,32,0,0
Julian Araujo,28,mx MEX,RB,23-012,85,36,28,8,0,0,0,1,8,0,0,0,0,27,0,0
Adam Smith,15,eng ENG,RB,33-118,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neto,1,br BRA,GK,35-037,90,28,17,11,2,0,0,0,0,0,0,0,0,17,0,0
