Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Evanilson,9,br BRA,FW,24-330,65,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0
Luis Sinisterra,17,co COL,LW,25-075,25,13,12,0,0,0,0,2,0,0,0,0,0,11,1,0
Marcus Tavernier,16,eng ENG,"LW,AM",25-162,90,29,25,4,1,0,0,5,1,2,1,1,0,16,0,2
Antoine Semenyo,24,gh GHA,RW,24-237,90,25,23,2,0,0,0,2,2,0,0,0,0,13,0,2
Justin Kluivert,19,nl NED,"AM,FW",25-118,90,30,27,3,0,0,0,3,0,0,0,0,0,21,0,1
Ryan Christie,10,sct SCO,DM,29-191,65,24,24,0,0,0,0,0,0,0,0,0,0,20,0,1
Alex Scott,8,eng ENG,DM,21-010,25,18,17,1,1,0,0,0,0,0,0,0,0,14,0,1
Lewis Cook,4,eng ENG,DM,27-210,90,47,42,5,3,0,1,2,0,2,2,0,0,37,0,0
Milos Kerkez,3,hu HUN,LB,20-298,65,30,26,4,0,0,0,4,4,0,0,0,0,20,0,1
Dango Ouattara,11,bf BFA,LB,22-202,25,17,14,3,0,0,1,3,3,0,0,0,0,13,0,0
Marcos Senesi,5,ar ARG,CB,27-113,76,54,52,1,1,0,0,1,0,0,0,0,0,38,1,0
Dean Huijsen,2,es ESP,CB,19-139,14,16,16,0,0,0,0,0,0,0,0,0,0,14,0,0
Illia Zabarnyi,27,ua UKR,CB,21-365,90,55,54,1,1,0,0,0,0,0,0,0,0,44,0,0
Julian Araujo,22,mx MEX,RB,23-018,76,27,25,2,0,0,0,0,2,0,0,0,0,23,0,0
Adam Smith,15,eng ENG,RB,33-124,14,15,8,7,0,0,0,2,7,0,0,0,0,9,0,1
Kepa Arrizabalaga,13,es ESP,GK,29-333,90,32,17,15,1,0,0,0,0,0,0,0,0,27,0,0
