Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Evanilson,9,br BRA,FW,25-077,70,0,0,0,0,2,0,0,0,0,0,0,0,2,1,2,33.3
Enes Ünal,26,tr TUR,FW,27-226,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0
Dango Ouattara,11,bf BFA,LW,22-315,90,0,0,0,1,0,2,2,1,3,0,0,0,4,1,1,50.0
Antoine Semenyo,24,gh GHA,RW,24-350,88,0,0,0,2,1,0,0,0,2,0,0,0,7,0,1,0.0
David Brooks,7,wls WAL,RW,27-167,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Justin Kluivert,19,nl NED,AM,25-231,77,0,0,0,3,3,0,0,0,0,1,0,0,3,0,1,0.0
Philip Billing,29,dk DEN,AM,28-194,13,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,100.0
Ryan Christie,10,sct SCO,DM,29-304,90,0,0,0,2,1,0,2,1,4,0,0,0,10,0,0,
Tyler Adams,12,us USA,DM,25-312,88,0,0,0,0,2,0,0,3,4,0,0,0,4,0,1,0.0
James Hill,23,eng ENG,DM,22-347,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.0
Milos Kerkez,3,hu HUN,LB,21-045,90,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,100.0
Dean Huijsen,2,es ESP,CB,19-252,90,1,0,0,1,0,0,1,2,2,0,0,0,3,3,3,50.0
Illia Zabarnyi,27,ua UKR,CB,22-112,90,0,0,0,0,0,0,0,1,1,0,0,0,6,2,0,100.0
Adam Smith,15,eng ENG,RB,33-237,45,1,0,0,1,2,0,2,0,0,0,0,0,5,0,1,0.0
Lewis Cook,4,eng ENG,RB,27-323,45,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,100.0
Kepa Arrizabalaga,13,es ESP,GK,30-080,90,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
