Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Evanilson,9,br BRA,FW,25-060,84,11,10,0,0,0,0,0,0,0,0,0,0,6,1,0
Enes Ünal,26,tr TUR,FW,27-209,6,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
Marcus Tavernier,16,eng ENG,"LW,FW,AM",25-258,84,30,27,3,0,0,1,4,0,3,2,1,0,21,0,0
Philip Billing,29,dk DEN,AM,28-177,6,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0
Antoine Semenyo,24,gh GHA,"RW,RM",24-333,84,23,23,0,0,0,0,1,0,0,0,0,0,20,0,0
David Brooks,7,wls WAL,RW,27-150,6,5,4,1,0,1,0,1,0,1,1,0,0,2,0,1
Justin Kluivert,19,nl NED,AM,25-214,63,8,6,2,1,0,0,0,0,0,0,0,0,7,0,0
Dango Ouattara,11,bf BFA,"LW,LM",22-298,27,12,12,0,0,0,0,3,0,0,0,0,0,6,0,0
Ryan Christie,10,sct SCO,"DM,CM",29-287,76,20,20,0,0,0,0,1,0,0,0,0,0,12,0,0
Lewis Cook,4,eng ENG,DM,27-306,14,5,4,1,0,0,0,0,0,1,0,0,0,5,0,0
Tyler Adams,12,us USA,"DM,CM",25-295,90,23,20,2,2,0,0,0,0,0,0,0,0,18,1,0
Milos Kerkez,3,hu HUN,LB,21-028,90,38,23,14,0,0,0,2,14,0,0,0,0,23,1,0
Dean Huijsen,2,es ESP,CB,19-235,90,24,23,1,1,0,0,0,0,0,0,0,0,16,0,0
Illia Zabarnyi,27,ua UKR,CB,22-095,90,20,20,0,0,0,0,1,0,0,0,0,0,15,0,1
Adam Smith,15,eng ENG,RB,33-220,90,33,25,8,0,0,0,1,8,0,0,0,0,20,0,2
Kepa Arrizabalaga,13,es ESP,GK,30-063,90,25,7,18,7,0,0,0,0,0,0,0,0,12,0,0
