Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Evanilson,9,br BRA,FW,25-063,73,16,0,0,5,11,4,16,0,0,,0,,11,45,11,0,0,0,3,1,13,6
Philip Billing,29,dk DEN,DM,28-180,17,19,1,3,11,5,1,19,1,0,0.0,0,0.0,7,18,8,0,0,0,0,0,8,1
Antoine Semenyo,24,gh GHA,"LW,AM",24-336,90,60,5,9,20,33,8,60,8,6,75.0,2,25.0,36,315,173,10,3,9,3,4,37,18
Marcus Tavernier,16,eng ENG,"RW,DM",25-261,73,52,1,3,17,32,6,52,2,0,0.0,2,100.0,38,217,77,1,2,1,2,1,34,9
David Brooks,7,wls WAL,RW,27-153,17,17,0,0,12,6,1,17,2,1,50.0,1,50.0,11,67,15,0,2,0,1,0,11,2
Justin Kluivert,19,nl NED,AM,25-217,62,32,1,2,7,23,9,32,2,1,50.0,1,50.0,24,127,54,2,1,3,3,1,26,8
Dango Ouattara,11,bf BFA,"LW,RW",22-301,28,21,0,2,7,12,2,21,1,0,0.0,1,100.0,12,46,16,1,0,0,2,1,15,5
Lewis Cook,4,eng ENG,"DM,RB",27-309,90,78,6,20,35,24,1,78,2,1,50.0,1,50.0,40,264,137,3,2,0,1,1,34,1
Ryan Christie,10,sct SCO,DM,29-290,85,52,4,13,24,17,0,52,1,1,100.0,0,0.0,39,311,169,4,5,0,2,0,32,1
James Hill,23,eng ENG,DM,22-333,5,5,0,2,3,0,0,5,0,0,,0,,2,8,5,0,0,0,0,0,2,0
Milos Kerkez,3,hu HUN,LB,21-031,90,57,2,6,27,25,2,57,0,0,,0,,35,185,103,3,2,0,1,1,35,8
Dean Huijsen,2,es ESP,CB,19-238,90,82,8,36,41,6,0,82,0,0,,0,,57,272,149,2,2,0,0,0,54,0
Illia Zabarnyi,27,ua UKR,CB,22-098,90,63,10,37,24,3,0,63,1,1,100.0,0,0.0,42,261,132,2,0,0,1,0,35,1
Adam Smith,15,eng ENG,RB,33-223,62,41,1,10,19,13,0,41,0,0,,0,,25,68,43,1,2,0,0,0,23,2
Enes Ünal,26,tr TUR,"FW,AM",27-212,28,11,1,2,3,6,2,11,1,0,0.0,1,100.0,4,15,5,0,0,0,0,0,8,0
Kepa Arrizabalaga,13,es ESP,GK,30-066,90,26,24,26,0,0,0,26,0,0,,0,,15,58,28,0,0,0,0,0,10,0
