Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Dango Ouattara,11,bf BFA,"FW,LW,LM",23-011,88,41,3,8,12,21,5,41,4,1,25.0,2,50.0,19,140,54,4,1,3,5,2,23,7
Daniel Jebbison,21,eng ENG,LW,21-193,2,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Antoine Semenyo,24,gh GHA,"LW,FW,CM,DM,LM",25-046,90,32,0,1,14,19,5,32,5,0,0.0,5,100.0,16,120,46,2,1,1,3,2,20,2
Marcus Tavernier,16,eng ENG,"RW,RB,RM,CM",25-337,90,54,2,5,27,24,1,54,6,3,50.0,1,16.7,31,181,79,1,4,1,7,4,32,5
Justin Kluivert,19,nl NED,"FW,AM,RM",25-293,72,30,1,3,11,16,2,30,3,1,33.3,2,66.7,13,124,74,3,2,0,3,1,13,3
Alex Scott,8,eng ENG,DM,21-185,18,12,0,2,9,1,0,12,3,1,33.3,1,33.3,5,31,21,1,0,0,2,0,6,1
Ryan Christie,10,sct SCO,"DM,CM",30-000,59,37,2,5,24,9,1,37,1,1,100.0,0,0.0,12,99,43,0,0,0,1,1,18,0
Tyler Adams,12,us USA,DM,26-008,31,26,0,4,21,1,0,26,2,0,0.0,2,100.0,8,58,6,0,0,0,1,1,11,0
Lewis Cook,4,eng ENG,"CB,DM,RB",28-019,90,53,4,15,30,8,0,53,3,2,66.7,1,33.3,24,90,57,0,0,0,0,0,23,1
Milos Kerkez,3,hu HUN,LB,21-107,90,78,2,19,39,22,4,78,1,0,0.0,0,0.0,32,231,125,6,2,1,2,2,43,11
Dean Huijsen,2,es ESP,CB,19-314,90,71,13,33,34,4,1,71,0,0,,0,,36,233,172,2,0,0,2,0,44,1
Illia Zabarnyi,27,ua UKR,CB,22-174,30,18,2,4,14,0,0,18,1,1,100.0,0,0.0,13,50,19,0,0,0,1,0,11,0
James Hill,23,eng ENG,"RB,CB",23-043,59,39,3,11,20,9,2,39,0,0,,0,,16,84,58,2,2,0,0,0,21,0
David Brooks,7,wls WAL,"RW,RB",27-229,31,15,1,2,5,9,2,15,2,0,0.0,2,100.0,9,35,6,0,0,0,3,1,9,3
Kepa Arrizabalaga,13,es ESP,GK,30-142,90,40,23,37,3,0,0,40,1,1,100.0,0,0.0,19,84,62,0,0,0,0,0,21,0
