Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Dango Ouattara,11,bf BFA,"FW,RW",22-338,90,0,0,0,0,0,0,0,,0,2,1,1,0,0,5,0
Antoine Semenyo,24,gh GHA,LW,25-007,90,2,1,0,2,0,2,4,50.0,2,0,0,0,0,2,1,0
David Brooks,7,wls WAL,RW,27-190,82,0,0,0,0,0,0,0,,0,2,1,1,1,1,2,0
Daniel Jebbison,21,ca CAN,FW,21-154,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ryan Christie,10,sct SCO,"DM,AM",29-327,90,1,1,0,1,0,1,5,20.0,4,1,1,0,2,3,0,1
Tyler Adams,12,us USA,DM,25-335,90,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,3,0
Lewis Cook,4,eng ENG,"RB,DM",27-346,90,2,1,1,1,0,2,3,66.7,1,0,0,0,0,2,2,0
Milos Kerkez,3,hu HUN,LB,21-068,90,3,2,3,0,0,3,4,75.0,1,1,1,0,0,3,2,0
Dean Huijsen,2,es ESP,CB,19-275,90,2,2,0,2,0,2,4,50.0,2,3,3,0,4,6,4,0
Illia Zabarnyi,27,ua UKR,CB,22-135,90,2,1,2,0,0,2,4,50.0,2,2,2,0,1,3,8,1
James Hill,23,eng ENG,RB,23-004,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Justin Kluivert,19,nl NED,AM,25-254,68,2,0,0,2,0,0,2,0.0,2,0,0,0,2,4,0,0
Mark Travers,42,ie IRL,GK,25-241,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
