Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Evanilson,9,br BRA,FW,25-160,90,23,1,2,7,14,10,23,0,0,,0,,13,109,68,2,1,1,0,0,15,9
Antoine Semenyo,24,gh GHA,"LW,RW",25-067,90,43,0,3,14,26,7,43,3,2,66.7,1,33.3,25,181,91,4,1,2,0,4,37,8
Marcus Tavernier,16,eng ENG,"RW,DM",25-358,90,69,1,9,24,37,6,69,2,1,50.0,1,50.0,42,168,106,1,1,0,1,0,52,5
Justin Kluivert,19,nl NED,AM,25-314,78,57,1,3,10,44,6,57,5,1,20.0,4,80.0,34,215,130,4,4,2,2,1,39,5
David Brooks,7,wls WAL,AM,27-250,12,12,0,2,3,7,1,12,0,0,,0,,10,45,26,1,2,0,0,0,10,0
Tyler Adams,12,us USA,DM,26-029,78,69,2,17,39,15,0,69,1,0,0.0,1,100.0,34,134,69,1,1,0,1,0,43,1
James Hill,23,eng ENG,DM,23-064,12,16,1,4,6,6,1,16,0,0,,0,,7,30,24,0,1,0,0,0,10,2
Ryan Christie,10,sct SCO,DM,30-021,66,54,1,6,26,22,2,54,3,1,33.3,2,66.7,36,188,86,2,2,2,0,2,40,1
Luis Sinisterra,17,co COL,LW,25-271,18,15,1,5,2,8,0,15,1,0,0.0,1,100.0,7,92,52,2,2,0,1,0,7,3
Dango Ouattara,11,bf BFA,LW,23-032,6,5,0,0,1,4,1,5,0,0,,0,,3,24,16,1,0,0,1,0,5,1
Milos Kerkez,3,hu HUN,LB,21-128,90,62,1,15,20,28,4,62,1,1,100.0,0,0.0,33,155,74,1,3,1,2,0,38,5
Dean Huijsen,2,es ESP,CB,19-335,90,72,8,33,29,10,1,72,0,0,,0,,36,167,119,1,3,0,1,0,45,0
Illia Zabarnyi,27,ua UKR,CB,22-195,84,62,6,35,26,2,0,62,0,0,,0,,31,187,135,0,1,0,0,0,31,0
Daniel Jebbison,21,ca CAN,CB,21-214,6,2,0,0,2,0,0,2,0,0,,0,,2,15,0,0,0,0,0,1,2,0
Lewis Cook,4,eng ENG,RB,28-040,90,69,4,22,31,17,3,69,0,0,,0,,28,150,109,2,1,1,1,0,29,2
Kepa Arrizabalaga,13,es ESP,GK,30-163,90,36,25,35,1,0,0,36,0,0,,0,,18,108,58,0,0,0,0,0,11,0
