Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Evanilson,9,br BRA,FW,25-027,76,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0
Enes Ünal,26,tr TUR,AM,27-176,14,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0
Marcus Tavernier,16,eng ENG,LW,25-225,89,31,28,3,0,0,0,3,1,1,1,0,0,25,0,0
Dean Huijsen,2,es ESP,LW,19-202,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Antoine Semenyo,24,gh GHA,RW,24-300,90,39,36,1,0,2,1,1,1,0,0,0,0,30,2,2
Justin Kluivert,19,nl NED,AM,25-181,76,23,22,1,0,2,0,0,0,0,0,0,0,21,0,0
David Brooks,7,wls WAL,FW,27-117,14,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1
Ryan Christie,10,sct SCO,DM,29-254,65,26,26,0,0,0,0,0,0,0,0,0,0,22,0,1
Tyler Adams,12,us USA,DM,25-262,25,8,8,0,0,0,0,0,0,0,0,0,0,5,0,1
Lewis Cook,4,eng ENG,DM,27-273,90,34,31,3,1,0,0,3,0,2,2,0,0,27,0,1
Milos Kerkez,3,hu HUN,LB,20-361,90,39,33,6,0,0,0,3,6,0,0,0,0,34,0,1
Marcos Senesi,5,ar ARG,CB,27-176,90,57,56,1,1,0,0,0,0,0,0,0,0,48,0,1
Illia Zabarnyi,27,ua UKR,CB,22-062,90,31,30,1,1,0,0,0,0,0,0,0,0,28,0,0
Adam Smith,15,eng ENG,RB,33-187,90,27,25,2,0,0,0,2,2,0,0,0,0,24,0,0
Mark Travers,42,ie IRL,GK,25-168,90,31,17,14,3,0,0,0,0,0,0,0,0,22,0,0
