Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Evanilson,9,br BRA,FW,25-048,90,0,0,0,1,3,2,0,0,0,0,0,0,3,2,1,66.7
Antoine Semenyo,24,gh GHA,"LW,RW",24-321,90,1,0,0,4,1,0,6,0,0,0,0,0,8,3,2,60.0
Marcus Tavernier,16,eng ENG,"RW,DM",25-246,90,0,0,0,0,1,0,5,0,1,0,0,0,3,1,3,25.0
Justin Kluivert,19,nl NED,AM,25-202,74,0,0,0,1,1,2,3,0,0,0,0,0,1,0,2,0.0
David Brooks,7,wls WAL,"RW,AM",27-138,16,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,
Lewis Cook,4,eng ENG,DM,27-294,90,1,0,0,4,0,0,4,1,1,0,0,0,4,0,2,0.0
Tyler Adams,12,us USA,DM,25-283,64,0,0,0,1,0,0,0,2,4,0,0,0,7,1,0,100.0
Dango Ouattara,11,bf BFA,"LB,LW",22-286,26,0,0,0,0,0,1,3,1,1,0,0,0,3,0,1,0.0
Milos Kerkez,3,hu HUN,LB,21-016,80,0,0,0,0,2,0,3,1,1,0,0,0,3,0,1,0.0
Enes Ünal,26,tr TUR,AM,27-197,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.0
Marcos Senesi,5,ar ARG,CB,27-197,64,0,0,0,2,0,0,1,0,1,0,0,0,4,0,1,0.0
Dean Huijsen,2,es ESP,CB,19-223,26,0,0,0,0,0,0,2,1,1,0,0,0,4,1,1,50.0
Illia Zabarnyi,27,ua UKR,CB,22-083,90,0,0,0,0,0,0,1,2,0,0,0,0,7,0,0,
Adam Smith,15,eng ENG,RB,33-208,74,0,0,0,0,0,0,0,1,1,0,0,0,5,0,2,0.0
Max Aarons,37,eng ENG,RB,24-324,16,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,
Kepa Arrizabalaga,13,es ESP,GK,30-051,90,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0.0
