Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Evanilson,9,br BRA,FW,25-048,90,16,0,1,5,11,7,16,0,0,,0,,11,78,46,2,1,1,0,1,12,4
Antoine Semenyo,24,gh GHA,"LW,RW",24-321,90,57,1,3,16,38,6,57,5,2,40.0,3,60.0,40,248,118,3,1,2,4,1,41,10
Marcus Tavernier,16,eng ENG,"RW,DM",25-246,90,65,0,5,27,33,2,65,3,2,66.7,1,33.3,45,267,107,1,3,1,3,5,49,13
Justin Kluivert,19,nl NED,AM,25-202,74,27,0,1,10,16,7,27,2,0,0.0,1,50.0,17,71,28,0,1,1,0,0,16,6
David Brooks,7,wls WAL,"RW,AM",27-138,16,27,0,0,7,20,2,27,0,0,,0,,20,189,90,4,1,0,0,1,23,9
Lewis Cook,4,eng ENG,DM,27-294,90,54,0,5,29,20,2,54,0,0,,0,,34,163,67,0,2,1,1,0,33,0
Tyler Adams,12,us USA,DM,25-283,64,47,1,8,33,6,1,47,1,0,0.0,1,100.0,35,143,70,0,2,0,1,0,34,0
Dango Ouattara,11,bf BFA,"LB,LW",22-286,26,23,0,5,7,11,1,23,1,0,0.0,1,100.0,9,27,15,1,2,1,1,0,8,3
Milos Kerkez,3,hu HUN,LB,21-016,80,49,1,5,20,24,5,49,0,0,,0,,35,224,161,6,3,2,2,0,33,4
Enes Ünal,26,tr TUR,AM,27-197,10,8,0,0,2,6,2,8,2,0,0.0,1,50.0,7,14,5,0,0,0,0,0,7,2
Marcos Senesi,5,ar ARG,CB,27-197,64,57,3,19,37,1,0,57,1,0,0.0,1,100.0,44,187,77,1,0,0,1,1,42,0
Dean Huijsen,2,es ESP,CB,19-223,26,43,1,13,26,6,1,43,0,0,,0,,30,148,99,1,0,0,0,0,29,0
Illia Zabarnyi,27,ua UKR,CB,22-083,90,83,2,27,52,7,0,83,2,1,50.0,1,50.0,73,541,345,3,1,0,0,0,67,0
Adam Smith,15,eng ENG,RB,33-208,74,33,2,7,19,7,0,33,1,0,0.0,1,100.0,18,48,20,0,0,0,0,0,18,2
Max Aarons,37,eng ENG,RB,24-324,16,21,0,6,9,6,0,21,0,0,,0,,17,74,35,1,0,0,0,0,15,3
Kepa Arrizabalaga,13,es ESP,GK,30-051,90,36,25,35,1,0,0,36,0,0,,0,,24,126,77,0,0,0,0,0,15,0
