Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Enes Ünal,26,tr TUR,FW,27-169,63,23,0,1,11,11,2,23,2,0,0.0,2,100.0,10,23,5,0,0,0,2,0,14,1
Evanilson,9,br BRA,FW,25-020,27,8,0,0,2,6,4,8,0,0,,0,,7,45,20,1,1,0,1,0,7,2
Antoine Semenyo,24,gh GHA,LW,24-293,90,38,0,3,16,21,5,38,3,2,66.7,0,0.0,32,285,133,4,3,2,7,0,32,9
Dango Ouattara,11,bf BFA,"RW,LB",22-258,90,34,7,13,10,11,3,34,3,0,0.0,2,66.7,9,95,64,2,2,1,1,0,11,4
Justin Kluivert,19,nl NED,AM,25-174,63,19,0,2,6,11,1,19,2,1,50.0,1,50.0,11,81,40,1,1,1,0,0,14,4
Marcus Tavernier,16,eng ENG,AM,25-218,27,16,0,0,6,10,0,16,0,0,,0,,9,110,65,3,3,0,0,0,11,4
Lewis Cook,4,eng ENG,DM,27-266,90,61,3,13,35,14,0,61,0,0,,0,,35,128,72,1,0,0,2,0,42,3
Ryan Christie,10,sct SCO,DM,29-247,80,57,5,9,34,15,2,57,1,1,100.0,0,0.0,35,197,104,1,1,1,2,2,35,0
Tyler Adams,12,us USA,DM,25-255,10,3,0,1,2,0,0,3,0,0,,0,,2,7,3,0,0,0,0,0,3,0
Milos Kerkez,3,hu HUN,LB,20-354,80,31,3,12,11,8,0,31,0,0,,0,,22,137,65,2,1,0,0,1,21,6
David Brooks,7,wls WAL,RW,27-110,10,6,0,1,3,2,0,6,0,0,,0,,2,24,3,0,0,0,2,0,2,1
Marcos Senesi,5,ar ARG,CB,27-169,90,74,2,35,39,1,0,74,1,1,100.0,0,0.0,52,221,145,1,1,0,0,0,46,0
Illia Zabarnyi,27,ua UKR,CB,22-055,90,46,7,23,23,1,0,46,0,0,,0,,28,152,118,2,0,0,0,0,25,0
Julian Araujo,22,mx MEX,RB,23-074,29,11,2,4,7,1,0,11,0,0,,0,,3,12,1,0,0,0,1,1,6,0
Adam Smith,15,eng ENG,RB,33-180,61,27,2,6,12,9,0,27,1,0,0.0,1,100.0,12,52,11,0,1,0,1,1,12,0
Mark Travers,42,ie IRL,GK,25-161,90,30,28,30,0,0,0,30,0,0,,0,,11,80,42,0,0,0,0,0,6,0
