Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Evanilson,9,br BRA,FW,24-360,75,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
Enes Ünal,26,tr TUR,FW,27-143,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Dango Ouattara,11,bf BFA,LW,22-232,60,2,2,0,0,2,1,1,100.0,0,0,0,0,0,2,0,0
Justin Kluivert,19,nl NED,FW,25-148,30,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Antoine Semenyo,24,gh GHA,"RW,RM",24-267,88,2,1,1,1,0,2,2,100.0,0,2,0,2,1,3,1,0
Luis Sinisterra,17,co COL,RM,25-105,2,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
Marcus Tavernier,16,eng ENG,"AM,LM",25-192,75,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Alex Scott,8,eng ENG,LM,21-040,15,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Ryan Christie,10,sct SCO,"DM,CM",29-221,90,3,1,1,1,1,1,3,33.3,2,5,1,4,2,5,2,0
Lewis Cook,4,eng ENG,"DM,CM",27-240,90,4,1,0,4,0,1,1,100.0,0,4,0,4,2,6,2,0
Milos Kerkez,3,hu HUN,LB,20-328,90,0,0,0,0,0,0,0,,0,1,1,0,1,1,2,0
Marcos Senesi,5,ar ARG,CB,27-143,90,5,2,2,3,0,2,5,40.0,3,2,1,1,3,8,5,0
Illia Zabarnyi,27,ua UKR,CB,22-029,90,3,1,1,2,0,1,1,100.0,0,0,0,0,0,3,2,0
Adam Smith,15,eng ENG,RB,33-154,90,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,2,0
Kepa Arrizabalaga,13,es ESP,GK,29-363,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
