Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Yoane Wissa,11,cd COD,FW,28-215,90,4,1,1,1,2,2,2,100.0,0,1,0,1,1,5,0,0
Kevin Schade,7,de GER,LW,23-130,90,1,1,1,0,0,0,0,,0,1,0,1,0,1,1,0
Bryan Mbeumo,19,cm CMR,RW,25-242,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Mikkel Damsgaard,24,dk DEN,AM,24-277,82,5,2,3,1,1,2,3,66.7,1,0,0,0,0,5,0,0
Mathias Jensen,8,dk DEN,AM,29-095,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Yehor Yarmoliuk,18,ua UKR,DM,21-036,65,1,1,0,1,0,1,2,50.0,1,0,0,0,1,2,0,0
Vitaly Janelt,27,de GER,DM,26-331,25,0,0,0,0,0,0,0,,0,1,1,0,1,1,1,0
Christian Nørgaard,6,dk DEN,DM,31-027,90,5,2,4,1,0,3,3,100.0,0,4,2,2,1,6,2,0
Keane Lewis-Potter,23,eng ENG,LB,24-043,90,3,1,1,1,1,0,0,,0,0,0,0,2,5,2,0
Sepp van den Berg,4,nl NED,CB,23-107,90,0,0,0,0,0,0,0,,0,2,2,0,0,0,5,0
Nathan Collins,22,ie IRL,CB,23-341,90,1,1,0,1,0,0,2,0.0,2,3,2,1,3,4,4,0
Kristoffer Ajer,20,no NOR,RB,26-354,82,2,1,2,0,0,2,2,100.0,0,2,0,2,0,2,3,0
Michael Kayode,33,it ITA,RB,20-270,8,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Mark Flekken,1,nl NED,GK,31-297,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
