Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Yoane Wissa,11,cd COD,FW,28-215,90,33,1,7,10,16,9,33,2,0,0.0,2,100.0,11,60,22,1,0,1,2,1,16,6
Kevin Schade,7,de GER,LW,23-130,90,29,3,6,7,19,3,29,2,2,100.0,0,0.0,21,216,152,6,5,3,3,1,19,5
Bryan Mbeumo,19,cm CMR,RW,25-242,90,30,0,4,9,18,5,30,1,0,0.0,0,0.0,20,132,54,2,1,2,5,1,22,6
Mikkel Damsgaard,24,dk DEN,AM,24-277,82,47,1,14,17,16,3,47,1,0,0.0,0,0.0,20,101,42,0,1,0,3,1,29,3
Mathias Jensen,8,dk DEN,AM,29-095,8,7,0,3,4,0,0,7,0,0,,0,,3,24,0,0,0,0,0,0,4,0
Yehor Yarmoliuk,18,ua UKR,DM,21-036,65,31,0,7,19,5,0,31,0,0,,0,,17,72,12,0,0,0,0,1,22,1
Vitaly Janelt,27,de GER,DM,26-331,25,15,2,9,4,2,0,15,0,0,,0,,4,15,13,0,0,0,0,0,9,0
Christian Nørgaard,6,dk DEN,DM,31-027,90,46,9,19,21,6,0,46,0,0,,0,,13,61,31,1,1,0,0,0,21,0
Keane Lewis-Potter,23,eng ENG,LB,24-043,90,48,5,18,20,13,2,48,6,4,66.7,1,16.7,25,229,153,2,4,1,2,1,24,2
Sepp van den Berg,4,nl NED,CB,23-107,90,50,11,26,19,5,2,50,0,0,,0,,24,136,61,0,0,0,1,0,27,0
Nathan Collins,22,ie IRL,CB,23-341,90,58,10,37,19,2,1,58,1,0,0.0,1,100.0,30,90,55,0,0,0,1,0,34,0
Kristoffer Ajer,20,no NOR,RB,26-354,82,40,5,18,18,4,0,40,0,0,,0,,11,52,24,1,1,0,2,1,15,1
Michael Kayode,33,it ITA,RB,20-270,8,1,0,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Mark Flekken,1,nl NED,GK,31-297,90,54,45,53,1,0,0,54,0,0,,0,,31,157,105,0,0,0,0,0,24,0
