Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Yoane Wissa,11,cd COD,FW,28-115,90,0,0,0,2,3,3,1,2,0,0,0,0,3,0,4,0.0
Kevin Schade,7,de GER,LW,23-030,90,0,0,0,2,1,1,0,1,2,0,0,0,1,3,7,30.0
Bryan Mbeumo,19,cm CMR,RW,25-142,90,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,100.0
Mikkel Damsgaard,24,dk DEN,AM,24-177,90,0,0,0,0,0,0,3,1,1,0,0,0,6,0,0,
Vitaly Janelt,27,de GER,DM,26-231,90,0,0,0,1,0,0,1,2,2,0,0,0,7,1,0,100.0
Christian Nørgaard,6,dk DEN,DM,30-292,71,0,0,0,2,0,0,0,2,1,0,0,0,4,1,2,33.3
Yehor Yarmoliuk,18,ua UKR,DM,20-301,19,1,0,0,1,0,0,1,0,2,0,0,0,3,0,0,
Keane Lewis-Potter,23,eng ENG,LB,23-309,90,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,
Ben Mee,16,eng ENG,CB,35-097,77,1,0,0,3,0,0,0,1,0,0,0,0,4,2,1,66.7
Kim Jisoo,36,kr KOR,CB,20-003,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Nathan Collins,22,ie IRL,CB,23-241,90,0,0,0,0,1,1,0,2,1,0,0,0,5,1,3,25.0
Mads Roerslev,30,dk DEN,RB,25-186,90,0,0,0,0,0,0,3,0,2,0,0,0,5,1,2,33.3
Mark Flekken,1,nl NED,GK,31-197,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hákon Rafn Valdimarsson,12,is ISL,GK,23-075,55,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
