Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Yoane Wissa,11,cd COD,FW,28-092,70,15,0,0,7,8,1,15,0,0,,0,,10,55,12,0,0,0,0,2,11,1
Thiago,9,br BRA,FW,23-161,20,6,0,0,1,5,1,6,0,0,,0,,6,30,9,2,0,1,0,0,5,3
Kevin Schade,7,de GER,LW,23-007,70,22,0,3,6,14,5,22,0,0,,0,,17,126,56,2,1,1,1,3,19,4
Fabio Carvalho,14,pt POR,LW,22-096,20,7,0,0,3,4,0,7,1,0,0.0,1,100.0,3,23,14,0,0,0,2,0,3,0
Bryan Mbeumo,19,cm CMR,RW,25-119,90,41,2,7,14,21,1,41,3,2,66.7,1,33.3,29,217,104,3,3,1,3,1,28,6
Mikkel Damsgaard,24,dk DEN,LM,24-154,90,70,1,15,27,29,4,70,1,0,0.0,1,100.0,45,156,70,0,2,0,1,0,42,8
Vitaly Janelt,27,de GER,CM,26-208,90,50,5,9,26,15,2,50,0,0,,0,,37,167,96,0,0,0,0,1,37,2
Yehor Yarmoliuk,18,ua UKR,RM,20-278,63,48,1,5,28,16,2,48,2,1,50.0,1,50.0,33,230,70,2,2,0,3,1,34,2
Edmond-Paris Maghoma,32,eng ENG,RM,23-210,27,14,0,2,10,2,0,14,0,0,,0,,9,71,47,0,0,0,1,0,10,0
Keane Lewis-Potter,23,eng ENG,LB,23-286,79,50,1,8,17,26,3,50,2,0,0.0,2,100.0,40,276,136,4,3,2,1,0,40,10
Mads Roerslev,30,dk DEN,LB,25-163,11,4,0,1,2,1,0,4,1,0,0.0,1,100.0,2,9,6,0,0,0,0,0,2,0
Ethan Pinnock,5,jm JAM,CB,31-189,90,61,12,21,28,12,1,61,0,0,,0,,31,150,77,1,1,0,0,0,32,0
Nathan Collins,22,ie IRL,CB,23-218,90,58,5,23,31,4,4,58,0,0,,0,,37,283,182,2,0,0,0,0,43,0
Sepp van den Berg,4,nl NED,RB,22-350,90,59,5,16,30,13,1,59,2,1,50.0,1,50.0,32,142,79,1,2,0,1,0,34,0
Mark Flekken,1,nl NED,GK,31-174,90,42,30,39,3,0,0,42,1,1,100.0,0,0.0,27,135,73,0,0,0,0,0,18,0
