Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Thiago,9,br BRA,FW,23-164,72,2,2,1,0,1,0,1,0.0,1,0,0,0,1,3,1,1
Kevin Schade,7,de GER,FW,23-010,18,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0
Fabio Carvalho,14,pt POR,AM,22-099,72,2,2,1,1,0,2,4,50.0,2,0,0,0,0,2,1,0
Mikkel Damsgaard,24,dk DEN,AM,24-157,18,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
Yoane Wissa,11,cd COD,AM,28-095,86,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
Ben Mee,16,eng ENG,AM,35-077,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Christian Nørgaard,6,dk DEN,CM,30-272,90,5,2,3,1,1,3,5,60.0,2,1,1,0,1,6,0,0
Yehor Yarmoliuk,18,ua UKR,CM,20-281,89,4,4,2,1,1,2,7,28.6,5,4,1,3,1,5,4,0
Edmond-Paris Maghoma,32,eng ENG,CM,23-213,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Keane Lewis-Potter,23,eng ENG,WB,23-289,90,2,1,1,0,1,1,1,100.0,0,1,0,1,0,2,3,0
Bryan Mbeumo,19,cm CMR,WB,25-122,90,2,0,1,0,1,1,1,100.0,0,0,0,0,1,3,1,0
Ethan Pinnock,5,jm JAM,CB,31-192,90,1,1,0,1,0,0,0,,0,2,0,2,0,1,8,0
Nathan Collins,22,ie IRL,CB,23-221,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0
Sepp van den Berg,4,nl NED,CB,22-353,90,3,1,2,1,0,2,4,50.0,2,0,0,0,0,3,5,0
Mark Flekken,1,nl NED,GK,31-177,90,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0
