Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Yoane Wissa,11,cd COD,FW,28-176,90,1,1,0,1,0,0,0,,0,1,0,1,0,1,2,0
Kevin Schade,7,de GER,LW,23-091,75,1,0,0,0,1,0,0,,0,0,0,0,0,1,5,0
Edmond-Paris Maghoma,32,eng ENG,LW,23-294,15,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0
Bryan Mbeumo,19,cm CMR,RW,25-203,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Mikkel Damsgaard,24,dk DEN,AM,24-238,90,2,2,1,1,0,0,1,0.0,1,2,0,2,1,3,0,0
Vitaly Janelt,27,de GER,DM,26-292,90,3,2,1,1,1,1,1,100.0,0,2,0,2,3,6,1,0
Yehor Yarmoliuk,18,ua UKR,DM,20-362,90,4,1,1,3,0,3,4,75.0,1,1,0,1,1,5,0,0
Keane Lewis-Potter,23,eng ENG,LB,24-004,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Ethan Pinnock,5,jm JAM,CB,31-273,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0
Nathan Collins,22,ie IRL,CB,23-302,90,0,0,0,0,0,0,0,,0,0,0,0,2,2,4,0
Kristoffer Ajer,20,no NOR,RB,26-315,80,1,1,0,1,0,1,2,50.0,1,4,1,3,0,1,4,0
Michael Kayode,33,it ITA,RB,20-231,10,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Mark Flekken,1,nl NED,GK,31-258,90,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
