Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Yoane Wissa,11,cd COD,FW,28-133,90,2,0,1,0,1,1,1,100.0,0,0,0,0,0,2,0,1
Mikkel Damsgaard,24,dk DEN,"LW,LM",24-195,90,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
Bryan Mbeumo,19,cm CMR,RW,25-160,90,0,0,0,0,0,0,0,,0,2,0,2,0,0,2,0
Mathias Jensen,8,dk DEN,LM,29-013,67,1,1,0,1,0,0,0,,0,1,0,1,0,1,1,0
Kevin Schade,7,de GER,LW,23-048,23,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Vitaly Janelt,27,de GER,CM,26-249,78,0,0,0,0,0,0,0,,0,1,0,1,3,3,0,0
Yehor Yarmoliuk,18,ua UKR,CM,20-319,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Christian Nørgaard,6,dk DEN,RM,30-310,90,2,1,1,1,0,1,1,100.0,0,2,1,1,3,5,4,0
Keane Lewis-Potter,23,eng ENG,"LB,RB",23-327,90,2,2,2,0,0,1,1,100.0,0,0,0,0,1,3,4,0
Sepp van den Berg,4,nl NED,CB,23-025,90,1,1,0,1,0,0,0,,0,1,1,0,1,2,5,0
Nathan Collins,22,ie IRL,CB,23-259,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
Mads Roerslev,30,dk DEN,RB,25-204,86,2,1,2,0,0,2,5,40.0,3,0,0,0,0,2,1,0
Rico Henry,3,eng ENG,LB,27-190,4,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
Mark Flekken,1,nl NED,GK,31-215,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
