Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Yoane Wissa,11,cd COD,FW,28-186,90,16,16,0,0,0,0,1,0,0,0,0,0,14,0,0
Kevin Schade,7,de GER,LW,23-101,90,29,24,5,0,0,0,3,5,0,0,0,0,19,0,1
Bryan Mbeumo,19,cm CMR,RW,25-213,90,42,39,2,0,0,0,6,1,1,1,0,0,29,1,2
Mikkel Damsgaard,24,dk DEN,AM,24-248,90,54,46,7,0,1,0,11,0,5,3,0,0,37,1,2
Vitaly Janelt,27,de GER,DM,26-302,74,43,42,1,1,0,0,1,0,0,0,0,0,38,0,2
Mathias Jensen,8,dk DEN,DM,29-066,16,21,19,2,0,0,1,0,2,0,0,0,0,18,0,0
Christian Nørgaard,6,dk DEN,DM,30-363,90,66,66,0,0,0,1,1,0,0,0,0,0,58,0,1
Keane Lewis-Potter,23,eng ENG,LB,24-014,90,52,48,4,1,0,2,3,3,0,0,0,0,40,0,2
Ethan Pinnock,5,jm JAM,CB,31-283,90,54,50,4,2,0,0,0,0,0,0,0,0,51,0,0
Nathan Collins,22,ie IRL,CB,23-312,90,57,56,1,1,0,0,0,0,0,0,0,0,53,0,0
Kristoffer Ajer,20,no NOR,RB,26-325,89,29,28,1,0,0,0,1,1,0,0,0,0,23,0,0
Kim Jisoo,36,kr KOR,RB,20-074,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Mark Flekken,1,nl NED,GK,31-268,90,41,37,4,3,0,0,0,0,0,0,0,0,34,0,0
