Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Yoane Wissa,11,cd COD,FW,28-081,71,15,13,1,0,0,0,1,0,0,0,0,0,11,1,1
Thiago,9,br BRA,FW,23-150,19,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
Mikkel Damsgaard,24,dk DEN,LW,24-143,71,25,24,0,0,2,0,0,0,0,0,0,0,17,1,0
Kevin Schade,7,de GER,LW,22-362,19,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Bryan Mbeumo,19,cm CMR,RW,25-108,90,22,20,2,0,0,0,4,0,2,1,0,0,14,0,1
Vitaly Janelt,27,de GER,LM,26-197,85,37,36,1,1,0,1,1,0,0,0,0,0,30,0,1
Yehor Yarmoliuk,18,ua UKR,LM,20-267,5,4,4,0,0,0,0,1,0,0,0,0,0,2,0,1
Christian Nørgaard,6,dk DEN,CM,30-258,40,27,26,1,1,0,0,0,0,0,0,0,0,24,0,0
Mathias Jensen,8,dk DEN,RM,28-327,90,35,28,6,1,0,0,3,3,2,1,0,0,21,1,0
Keane Lewis-Potter,23,eng ENG,LB,23-275,90,25,21,4,0,0,0,1,4,0,0,0,0,21,0,0
Ethan Pinnock,5,jm JAM,CB,31-178,90,33,30,3,0,0,0,0,0,0,0,0,0,28,0,0
Nathan Collins,22,ie IRL,CB,23-207,90,54,54,0,0,0,0,0,0,0,0,0,0,46,0,0
Sepp van den Berg,4,nl NED,RB,22-339,90,34,29,5,0,0,0,0,5,0,0,0,0,29,0,0
Mark Flekken,1,nl NED,GK,31-163,90,51,32,19,8,0,0,0,0,0,0,0,0,34,0,0
