Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Yoane Wissa,11,cd COD,FW,28-067,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Mikkel Damsgaard,24,dk DEN,"LW,LM",24-129,89,4,3,2,0,2,2,3,66.7,1,1,0,1,1,5,5,0
Yunus Emre Konak,26,tr TUR,LM,18-304,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Bryan Mbeumo,19,cm CMR,RW,25-094,89,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0
Fabio Carvalho,14,pt POR,RW,22-071,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Vitaly Janelt,27,de GER,"LM,CM",26-183,90,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,3,0
Christian Nørgaard,6,dk DEN,CM,30-244,82,1,1,0,1,0,0,1,0.0,1,2,1,1,1,2,2,0
Kevin Schade,7,de GER,LW,22-348,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Mathias Jensen,8,dk DEN,RM,28-313,78,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Yehor Yarmoliuk,18,ua UKR,RM,20-253,12,1,1,0,1,0,1,1,100.0,0,2,1,1,0,1,2,0
Keane Lewis-Potter,23,eng ENG,LB,23-261,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0
Ethan Pinnock,5,jm JAM,CB,31-164,90,0,0,0,0,0,0,0,,0,2,1,1,2,2,5,0
Nathan Collins,22,ie IRL,CB,23-193,90,1,1,0,0,1,1,2,50.0,1,4,4,0,0,1,13,0
Sepp van den Berg,4,nl NED,RB,22-325,90,2,0,1,1,0,0,1,0.0,1,0,0,0,0,2,4,1
Mark Flekken,1,nl NED,GK,31-149,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
