Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Yoane Wissa,11,cd COD,FW,28-067,90,0,0,0,0,2,0,1,0,0,0,0,0,3,1,1,50.0
Mikkel Damsgaard,24,dk DEN,"LW,LM",24-129,89,0,0,0,0,1,0,2,1,3,0,0,0,4,3,0,100.0
Yunus Emre Konak,26,tr TUR,LM,18-304,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Bryan Mbeumo,19,cm CMR,RW,25-094,89,0,0,0,0,1,0,7,0,0,0,0,0,1,1,0,100.0
Fabio Carvalho,14,pt POR,RW,22-071,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Vitaly Janelt,27,de GER,"LM,CM",26-183,90,0,0,0,1,0,0,3,0,0,0,0,0,3,1,1,50.0
Christian Nørgaard,6,dk DEN,CM,30-244,82,0,0,0,1,4,0,0,1,1,0,0,0,4,4,2,66.7
Kevin Schade,7,de GER,LW,22-348,8,1,0,0,3,1,0,0,0,0,0,0,0,1,2,1,66.7
Mathias Jensen,8,dk DEN,RM,28-313,78,0,0,0,1,4,0,3,1,0,0,0,0,5,0,1,0.0
Yehor Yarmoliuk,18,ua UKR,RM,20-253,12,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,66.7
Keane Lewis-Potter,23,eng ENG,LB,23-261,90,0,0,0,0,1,0,6,1,0,0,0,0,6,1,2,33.3
Ethan Pinnock,5,jm JAM,CB,31-164,90,0,0,0,0,0,0,0,2,0,0,0,0,3,7,2,77.8
Nathan Collins,22,ie IRL,CB,23-193,90,0,0,0,1,1,0,0,0,1,0,0,0,4,8,4,66.7
Sepp van den Berg,4,nl NED,RB,22-325,90,0,0,0,1,0,0,1,0,0,0,0,0,6,7,3,70.0
Mark Flekken,1,nl NED,GK,31-149,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
