Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Kevin Schade,7,de GER,FW,22-313,76,0,0,0,1,2,2,0,0,2,0,0,0,4,3,2,60.0
Fabio Carvalho,14,pt POR,LW,22-036,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Keane Lewis-Potter,23,eng ENG,"LW,RW",23-226,90,0,0,0,1,0,1,5,0,1,0,0,0,4,0,4,0.0
Bryan Mbeumo,19,cm CMR,"RW,FW",25-059,90,0,0,0,0,3,1,7,0,2,0,0,0,8,0,4,0.0
Mikkel Damsgaard,24,dk DEN,"AM,RM",24-094,89,0,0,0,0,1,0,8,0,0,0,0,0,5,1,2,33.3
Yunus Emre Konak,26,tr TUR,RM,18-269,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0
Christian Nørgaard,6,dk DEN,DM,30-209,76,0,0,0,1,2,0,0,1,0,0,0,0,6,1,0,100.0
Yehor Yarmoliuk,18,ua UKR,LM,20-218,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Vitaly Janelt,27,de GER,"DM,CM",26-148,90,1,0,0,2,0,0,3,0,1,0,0,0,6,1,0,100.0
Kristoffer Ajer,20,no NOR,LB,26-171,89,1,0,0,1,0,0,1,2,1,0,0,0,2,1,1,50.0
Mads Roerslev,30,dk DEN,LB,25-103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ethan Pinnock,5,jm JAM,CB,31-129,90,0,0,0,0,0,0,1,2,1,0,0,0,3,4,2,66.7
Nathan Collins,22,ie IRL,CB,23-158,90,0,0,0,0,1,1,1,1,0,1,0,0,3,6,0,100.0
Sepp van den Berg,4,nl NED,RB,22-290,90,0,0,0,2,0,0,1,0,0,0,0,0,3,4,4,50.0
Mark Flekken,1,nl NED,GK,31-114,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
