Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Bryan Mbeumo,19,cm CMR,FW,25-038,90,0,0,0,0,2,0,3,0,1,0,0,0,4,0,0,
Yoane Wissa,11,cd COD,FW,28-011,44,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,
Kevin Schade,7,de GER,FW,22-292,46,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,50.0
Vitaly Janelt,27,de GER,CM,26-127,71,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,
Fabio Carvalho,14,pt POR,CM,22-015,19,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0.0
Christian Nørgaard,6,dk DEN,CM,30-188,90,0,0,0,1,1,0,1,3,3,0,0,0,6,2,1,66.7
Mikkel Damsgaard,24,dk DEN,CM,24-073,83,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,100.0
Yehor Yarmoliuk,18,ua UKR,CM,20-197,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Keane Lewis-Potter,23,eng ENG,LB,23-205,90,0,0,0,0,0,1,1,1,0,0,0,0,3,0,0,
Nathan Collins,22,ie IRL,CB,23-137,90,1,0,0,2,0,0,0,1,1,0,0,0,1,0,1,0.0
Ethan Pinnock,5,jm JAM,CB,31-108,90,0,0,0,0,0,0,0,1,4,0,0,0,3,2,1,66.7
Sepp van den Berg,4,nl NED,CB,22-269,90,0,0,0,0,0,0,1,0,3,0,0,0,1,2,0,100.0
Kristoffer Ajer,20,no NOR,RB,26-150,71,0,0,0,0,1,0,2,0,1,0,0,0,2,1,1,50.0
Mads Roerslev,30,dk DEN,RB,25-082,19,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,100.0
Mark Flekken,1,nl NED,GK,31-093,90,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0
