Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Bryan Mbeumo,19,cm CMR,FW,25-052,90,3,1,1,0,2,1,1,100.0,0,0,0,0,1,4,0,0
Fabio Carvalho,14,pt POR,FW,22-029,84,4,3,1,0,3,1,2,50.0,1,2,1,1,1,5,1,0
Yunus Emre Konak,26,tr TUR,FW,18-262,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Keane Lewis-Potter,23,eng ENG,LM,23-219,90,2,1,1,0,1,1,4,25.0,3,0,0,0,1,3,1,0
Vitaly Janelt,27,de GER,CM,26-141,90,1,1,0,0,1,0,1,0.0,1,2,0,2,1,2,4,0
Mikkel Damsgaard,24,dk DEN,"CM,RM",24-087,90,8,5,3,3,2,2,3,66.7,1,0,0,0,1,9,1,0
Kevin Schade,7,de GER,RM,22-306,59,1,1,0,1,0,0,1,0.0,1,1,1,0,0,1,1,0
Yehor Yarmoliuk,18,ua UKR,CM,20-211,31,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Kristoffer Ajer,20,no NOR,LB,26-164,90,1,1,1,0,0,1,3,33.3,2,4,1,3,2,3,2,0
Ethan Pinnock,5,jm JAM,CB,31-122,90,2,0,1,1,0,1,1,100.0,0,0,0,0,1,3,4,0
Nathan Collins,22,ie IRL,CB,23-151,90,1,1,1,0,0,1,2,50.0,1,1,0,1,1,2,2,0
Sepp van den Berg,4,nl NED,RB,22-283,90,2,1,1,0,1,0,0,,0,2,2,0,0,2,3,0
Mark Flekken,1,nl NED,GK,31-107,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
