Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Danny Welbeck,18,eng ENG,FW,34-130,90,0,0,0,0,1,0,0,0,2,0,0,0,0,1,4,20.0
Kaoru Mitoma,22,jp JPN,LW,27-320,62,0,0,0,2,1,0,1,0,2,0,0,0,5,0,1,0.0
Simon Adingra,11,ci CIV,"LW,LM",23-094,28,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,100.0
Yankuba Minteh,17,gm GAM,RW,20-257,71,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,100.0
Solly March,7,eng ENG,"RW,RM",30-259,19,1,0,0,1,0,0,6,0,0,0,0,0,1,1,0,100.0
Matt O'Riley,33,dk DEN,AM,24-135,62,0,0,0,1,2,0,4,0,2,0,0,0,1,1,2,33.3
João Pedro,9,br BRA,"AM,LB,CM",23-191,28,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Diego Gómez,25,py PAR,DM,22-009,71,0,0,0,2,0,1,1,1,2,0,0,0,7,1,0,100.0
Brajan Gruda,8,de GER,"CM,DM",20-309,19,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,100.0
Carlos Baleba,20,cm CMR,"DM,CB",21-092,90,0,0,0,1,3,0,0,0,1,0,0,0,9,1,1,50.0
Pervis Estupiñán,30,ec ECU,LB,27-074,80,0,0,0,2,0,0,1,1,0,0,0,0,9,3,1,75.0
Yasin Ayari,26,se SWE,"CM,DM",21-181,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,100.0
Lewis Dunk,5,eng ENG,CB,33-135,90,0,0,0,0,0,0,2,1,1,0,0,0,4,2,0,100.0
Jan Paul van Hecke,29,nl NED,CB,24-301,89,2,1,1,2,2,0,0,1,0,0,0,0,1,2,0,100.0
Jack Hinshelwood,41,eng ENG,RB,19-359,89,0,0,0,0,0,0,1,2,0,0,0,0,2,1,0,100.0
Mats Wieffer,27,nl NED,"CB,RB",25-140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Bart Verbruggen,1,nl NED,GK,22-230,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
