Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Danny Welbeck,18,eng ENG,FW,33-265,90,0,0,0,1,0,0,0,1,1,0,0,0,1,0,2,0.0
Kaoru Mitoma,22,jp JPN,LW,27-089,88,0,0,0,2,1,0,1,0,1,0,0,0,2,0,0,
Yasin Ayari,26,se SWE,LW,20-316,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Yankuba Minteh,17,gm GAM,RW,20-026,44,0,0,0,1,0,0,0,1,0,0,0,0,2,1,2,33.3
Simon Adingra,24,ci CIV,RW,22-229,46,0,0,0,0,0,0,1,2,1,0,0,0,2,0,0,
João Pedro,9,br BRA,AM,22-326,81,0,0,0,0,2,0,0,1,1,0,0,0,1,2,0,100.0
Jeremy Sarmiento,16,ec ECU,AM,22-062,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Mats Wieffer,27,nl NED,DM,24-275,90,0,0,0,2,1,0,0,0,3,0,0,0,8,0,3,0.0
James Milner,6,eng ENG,DM,38-226,81,1,0,0,1,0,0,7,0,2,0,0,0,0,0,1,0.0
Billy Gilmour,11,sct SCO,DM,23-067,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Jack Hinshelwood,41,eng ENG,LB,19-128,90,0,0,0,0,0,0,3,1,0,0,0,0,5,1,0,100.0
Lewis Dunk,5,eng ENG,CB,32-270,75,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,50.0
Adam Webster,4,eng ENG,CB,29-226,15,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,50.0
Jan Paul van Hecke,29,nl NED,CB,24-070,90,0,0,0,1,0,0,0,0,2,0,0,0,4,2,3,40.0
Joël Veltman,34,nl NED,RB,32-215,90,0,0,0,0,3,0,1,2,2,0,0,0,6,1,1,50.0
Jason Steele,23,eng ENG,GK,33-365,90,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,50.0
