Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Georginio Rutter,14,fr FRA,FW,22-245,67,13,1,2,5,6,1,13,1,0,0.0,1,100.0,6,44,18,1,0,1,0,1,6,2
Julio Enciso,10,py PAR,"AM,LW",20-333,23,21,1,3,4,14,5,21,1,1,100.0,0,0.0,15,88,60,2,1,2,1,0,15,3
Kaoru Mitoma,22,jp JPN,LW,27-215,84,42,2,8,18,18,9,42,6,5,83.3,1,16.7,19,177,76,4,3,1,2,3,22,10
Evan Ferguson,28,ie IRL,FW,20-063,6,3,1,1,0,2,2,3,0,0,,0,,1,3,0,0,0,0,0,0,2,0
Brajan Gruda,8,de GER,RW,20-204,67,34,0,0,10,24,7,34,3,0,0.0,2,66.7,19,123,70,3,4,2,1,3,24,12
Yankuba Minteh,17,gm GAM,RW,20-152,23,17,0,1,6,12,6,17,0,0,,0,,11,81,61,2,0,2,2,0,13,6
João Pedro,9,br BRA,"AM,FW",23-086,90,44,1,3,13,28,9,44,6,1,16.7,5,83.3,30,273,130,7,2,5,4,2,31,6
Mats Wieffer,27,nl NED,DM,25-035,55,36,1,7,20,9,2,36,1,0,0.0,1,100.0,23,100,51,1,0,0,0,0,24,0
Yasin Ayari,26,se SWE,DM,21-076,35,33,0,8,18,8,4,33,1,0,0.0,1,100.0,20,64,34,1,1,1,1,0,28,1
Carlos Baleba,20,cm CMR,DM,20-353,90,50,1,11,36,8,0,50,1,1,100.0,0,0.0,34,269,181,6,2,0,0,1,39,1
Pervis Estupiñán,30,ec ECU,LB,26-335,90,66,3,21,31,15,2,66,0,0,,0,,36,154,80,1,1,0,3,1,35,4
Lewis Dunk,5,eng ENG,CB,33-030,90,82,21,47,31,4,3,82,0,0,,0,,41,167,74,1,2,0,1,0,53,0
Jan Paul van Hecke,29,nl NED,CB,24-196,90,77,9,37,39,2,1,77,1,0,0.0,1,100.0,37,289,225,1,0,0,0,2,45,1
Joël Veltman,34,nl NED,RB,32-341,67,35,2,10,17,8,1,35,0,0,,0,,11,46,27,1,0,0,1,1,12,1
Tariq Lamptey,2,gh GHA,RB,24-082,23,23,2,5,13,5,0,23,1,1,100.0,0,0.0,13,82,30,2,0,0,0,0,13,4
Bart Verbruggen,1,nl NED,GK,22-125,90,34,31,34,0,0,0,34,0,0,,0,,20,66,42,0,0,0,0,0,24,0
