Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Danny Welbeck,18,eng ENG,FW,34-067,72,15,11,4,0,0,0,0,0,0,0,0,0,12,0,3
Evan Ferguson,28,ie IRL,FW,20-105,18,10,8,2,0,0,0,0,0,0,0,0,0,8,0,0
Kaoru Mitoma,22,jp JPN,LM,27-257,45,13,13,0,0,0,0,1,0,0,0,0,0,10,0,0
Simon Adingra,11,ci CIV,LW,23-031,45,12,12,0,0,0,0,2,0,0,0,0,0,6,0,0
João Pedro,9,br BRA,CM,23-128,45,21,19,2,0,1,0,2,0,0,0,0,0,16,0,1
Diego Gómez,25,py PAR,CM,21-311,45,37,37,0,0,0,0,1,0,0,0,0,0,29,0,2
Georginio Rutter,14,fr FRA,"RW,CM",22-287,90,20,20,0,0,0,0,0,0,0,0,0,0,16,0,1
Yankuba Minteh,17,gm GAM,RM,20-194,90,40,37,3,0,0,1,11,2,1,1,0,0,26,0,3
Jack Hinshelwood,41,eng ENG,DM,19-296,45,33,32,1,1,0,0,0,0,0,0,0,0,29,0,0
Matt O'Riley,33,dk DEN,CM,24-072,45,51,46,5,1,0,0,3,0,4,1,1,0,41,0,1
Tariq Lamptey,2,gh GHA,"LM,LB",24-124,90,60,55,5,0,0,0,4,4,1,1,0,0,52,0,0
Lewis Dunk,5,eng ENG,CB,33-072,90,85,84,1,0,0,0,0,0,0,0,0,0,77,0,0
Jan Paul van Hecke,29,nl NED,CB,24-238,90,84,83,1,1,0,0,0,0,0,0,0,0,73,0,0
Joël Veltman,34,nl NED,"CB,RB",33-017,90,66,57,9,5,0,1,1,4,0,0,0,0,59,0,0
Bart Verbruggen,1,nl NED,GK,22-167,90,28,25,3,0,0,0,0,0,0,0,0,0,23,0,0
