Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Danny Welbeck,18,eng ENG,FW,34-067,72,23,0,0,10,13,4,23,1,1,100.0,0,0.0,13,50,25,2,1,1,4,0,16,3
Evan Ferguson,28,ie IRL,FW,20-105,18,13,0,1,8,5,1,13,1,0,0.0,1,100.0,7,39,15,0,0,1,2,0,7,1
Kaoru Mitoma,22,jp JPN,LM,27-257,45,22,1,3,5,14,2,22,2,0,0.0,2,100.0,10,101,20,1,0,1,2,1,11,7
Simon Adingra,11,ci CIV,LW,23-031,45,16,0,2,4,10,3,16,2,1,50.0,1,50.0,13,78,42,2,0,1,1,0,13,4
João Pedro,9,br BRA,CM,23-128,45,26,0,1,11,16,1,26,0,0,,0,,17,104,69,3,3,1,2,0,17,1
Diego Gómez,25,py PAR,CM,21-311,45,49,1,7,32,10,0,49,1,1,100.0,0,0.0,30,94,26,0,0,0,0,1,28,0
Georginio Rutter,14,fr FRA,"RW,CM",22-287,90,34,1,4,9,21,5,34,9,5,55.6,3,33.3,23,177,115,3,4,1,1,0,21,3
Yankuba Minteh,17,gm GAM,RM,20-194,90,59,2,9,12,39,11,59,11,5,45.5,6,54.5,39,222,113,2,1,2,2,3,40,20
Jack Hinshelwood,41,eng ENG,DM,19-296,45,40,1,9,20,11,1,40,0,0,,0,,21,132,72,0,1,0,1,0,23,0
Matt O'Riley,33,dk DEN,CM,24-072,45,56,1,10,34,12,0,56,1,1,100.0,0,0.0,39,148,83,1,2,0,1,0,41,1
Tariq Lamptey,2,gh GHA,"LM,LB",24-124,90,74,2,19,36,19,0,74,2,0,0.0,2,100.0,46,302,174,4,2,0,0,0,48,7
Lewis Dunk,5,eng ENG,CB,33-072,90,90,10,43,44,3,0,90,0,0,,0,,60,299,176,2,2,0,0,0,71,0
Jan Paul van Hecke,29,nl NED,CB,24-238,90,93,5,28,63,2,0,93,0,0,,0,,69,474,345,5,2,0,0,1,65,0
Joël Veltman,34,nl NED,"CB,RB",33-017,90,74,3,16,46,13,0,74,0,0,,0,,48,355,211,3,2,0,3,0,49,6
Bart Verbruggen,1,nl NED,GK,22-167,90,32,27,32,0,0,0,32,0,0,,0,,25,95,64,0,0,0,0,0,21,0
