Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
João Pedro,9,br BRA,FW,23-149,90,0,0,0,2,2,1,0,0,0,0,0,0,1,1,3,25.0
Kaoru Mitoma,22,jp JPN,LW,27-278,78,0,0,0,0,0,0,1,0,0,0,0,0,3,2,1,66.7
Simon Adingra,11,ci CIV,LW,23-052,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Yankuba Minteh,17,gm GAM,RW,20-215,90,0,0,0,2,0,0,4,1,1,0,0,0,4,0,0,
Georginio Rutter,14,fr FRA,AM,22-308,78,0,0,0,1,3,0,0,0,2,0,0,0,5,1,1,50.0
Brajan Gruda,8,de GER,AM,20-267,12,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,
Yasin Ayari,26,se SWE,DM,21-139,66,0,0,0,1,1,0,1,0,0,0,0,0,4,0,0,
Diego Gómez,25,py PAR,DM,21-332,24,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,100.0
Carlos Baleba,20,cm CMR,DM,21-050,90,0,0,0,0,1,0,1,2,0,0,0,0,6,2,0,100.0
Tariq Lamptey,2,gh GHA,LB,24-145,66,0,0,0,3,1,0,3,1,2,0,0,0,3,0,1,0.0
Pervis Estupiñán,30,ec ECU,LB,27-032,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Adam Webster,4,eng ENG,CB,30-049,90,0,0,0,1,1,0,0,3,0,0,0,0,4,4,0,100.0
Jan Paul van Hecke,29,nl NED,CB,24-259,90,0,0,0,0,0,0,0,1,1,0,0,0,6,5,2,71.4
Jack Hinshelwood,41,eng ENG,RB,19-317,82,0,0,0,2,1,0,0,0,2,0,0,0,5,5,1,83.3
Mats Wieffer,27,nl NED,RB,25-098,8,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0.0
Bart Verbruggen,1,nl NED,GK,22-188,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
