Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
João Pedro,9,br BRA,FW,23-112,77,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Danny Welbeck,18,eng ENG,FW,34-051,13,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Kaoru Mitoma,22,jp JPN,LM,27-241,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Yasin Ayari,26,se SWE,CM,21-102,89,1,1,1,0,0,0,0,,0,2,0,2,0,1,0,0
Jakub Moder,15,pl POL,CM,25-284,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Matt O'Riley,33,dk DEN,CM,24-056,62,1,1,0,1,0,0,0,,0,1,0,1,1,2,0,0
Georginio Rutter,14,fr FRA,FW,22-271,28,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Simon Adingra,11,ci CIV,RM,23-015,62,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0
Yankuba Minteh,17,gm GAM,RM,20-178,28,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Carlos Baleba,20,cm CMR,"DM,CM",21-013,90,4,3,1,1,2,3,3,100.0,0,2,0,2,2,6,0,0
Pervis Estupiñán,30,ec ECU,LB,26-361,90,2,2,0,2,0,1,1,100.0,0,2,0,2,0,2,2,0
Adam Webster,4,eng ENG,CB,30-012,62,1,1,0,1,0,1,3,33.3,2,1,0,1,0,1,0,0
Lewis Dunk,5,eng ENG,CB,33-056,28,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
Jan Paul van Hecke,29,nl NED,CB,24-222,90,1,1,0,0,1,1,2,50.0,1,0,0,0,3,4,2,0
Joël Veltman,34,nl NED,RB,33-001,90,3,3,2,1,0,2,2,100.0,0,0,0,0,0,3,3,0
Bart Verbruggen,1,nl NED,GK,22-151,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
