Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Danny Welbeck,18,eng ENG,FW,34-060,90,18,17,1,1,0,0,0,0,0,0,0,0,16,0,0
Kaoru Mitoma,22,jp JPN,"WB,LW",27-250,90,43,41,2,0,0,0,4,2,0,0,0,0,35,0,1
Brajan Gruda,8,de GER,RW,20-239,45,17,16,1,0,0,0,0,1,0,0,0,0,13,0,0
Georginio Rutter,14,fr FRA,AM,22-280,45,14,14,0,0,0,0,1,0,0,0,0,0,6,0,0
João Pedro,9,br BRA,AM,23-121,90,35,35,0,0,0,0,0,0,0,0,0,0,26,0,1
Yasin Ayari,26,se SWE,"DM,CM",21-111,74,39,31,8,1,0,0,6,0,5,4,1,0,26,0,0
Jack Hinshelwood,41,eng ENG,CM,19-289,16,17,16,0,0,0,0,0,0,0,0,0,0,15,1,0
Carlos Baleba,20,cm CMR,"DM,CM,CB",21-022,89,60,59,1,0,0,0,2,1,0,0,0,0,56,0,0
Adam Webster,4,eng ENG,CB,30-021,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Tariq Lamptey,2,gh GHA,"LB,WB",24-117,73,43,37,6,2,0,1,6,4,0,0,0,0,35,0,0
Yankuba Minteh,17,gm GAM,WB,20-187,17,12,11,1,0,0,0,2,1,0,0,0,0,8,0,1
Lewis Dunk,5,eng ENG,CB,33-065,90,130,125,5,3,0,0,0,0,0,0,0,0,120,0,1
Jan Paul van Hecke,29,nl NED,CB,24-231,90,114,108,6,3,0,0,3,3,0,0,0,0,100,0,1
Joël Veltman,34,nl NED,"RB,CB",33-010,83,109,97,11,1,0,1,3,10,0,0,0,0,94,1,1
Matt O'Riley,33,dk DEN,CM,24-065,7,12,7,5,1,0,0,3,0,4,2,1,0,7,0,0
Bart Verbruggen,1,nl NED,GK,22-160,90,32,31,1,0,0,0,0,0,0,0,0,0,29,0,0
