Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
João Pedro,9,br BRA,FW,23-100,90,27,1,2,12,15,5,26,5,2,40.0,1,20.0,20,167,93,3,0,1,1,1,21,8
Simon Adingra,11,ci CIV,LW,23-003,61,24,0,1,7,16,2,24,1,0,0.0,1,100.0,17,90,35,2,1,0,0,0,18,5
Kaoru Mitoma,22,jp JPN,LW,27-229,29,13,0,2,4,7,1,13,1,1,100.0,0,0.0,10,52,37,1,0,1,3,0,10,4
Brajan Gruda,8,de GER,RW,20-218,45,20,0,4,8,8,1,20,2,0,0.0,2,100.0,13,103,41,1,3,0,1,3,13,1
Yankuba Minteh,17,gm GAM,RW,20-166,45,9,1,3,2,5,1,9,2,2,100.0,0,0.0,5,80,52,2,0,1,1,0,5,1
Matt O'Riley,33,dk DEN,AM,24-044,45,21,2,8,6,7,1,21,0,0,,0,,6,10,4,0,0,0,1,0,11,2
Georginio Rutter,14,fr FRA,AM,22-259,45,9,0,4,3,3,1,9,1,0,0.0,1,100.0,8,67,51,2,2,0,1,1,7,2
Yasin Ayari,26,se SWE,DM,21-090,90,48,5,20,22,8,1,48,2,2,100.0,0,0.0,25,170,115,2,1,0,1,0,31,2
Carlos Baleba,20,cm CMR,DM,21-001,90,46,2,17,22,9,0,46,2,1,50.0,1,50.0,18,161,93,1,0,0,2,0,24,1
Pervis Estupiñán,30,ec ECU,LB,26-349,90,57,3,17,26,16,2,57,4,2,50.0,2,50.0,33,171,72,1,0,1,2,0,40,3
Igor,3,br BRA,CB,26-332,65,83,8,41,37,5,0,83,0,0,,0,,68,337,178,0,2,0,0,0,71,0
Adam Webster,4,eng ENG,CB,30-000,25,29,3,10,16,3,1,29,1,0,0.0,1,100.0,17,73,28,0,1,0,0,0,16,0
Jan Paul van Hecke,29,nl NED,CB,24-210,90,82,10,33,46,4,0,82,1,0,0.0,0,0.0,60,303,170,1,3,0,0,0,64,0
Joël Veltman,34,nl NED,RB,32-355,90,35,1,13,16,8,0,35,1,1,100.0,0,0.0,17,130,74,2,1,0,0,0,16,2
Bart Verbruggen,1,nl NED,GK,22-139,90,44,38,44,0,0,0,44,1,1,100.0,0,0.0,29,116,52,0,0,0,0,0,28,0
