Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
João Pedro,9,br BRA,"FW,AM",23-170,90,1,0,0,1,1,1,0,1,1,0,0,0,5,4,4,50.0
Kaoru Mitoma,22,jp JPN,LW,27-299,82,1,0,0,3,1,0,2,0,1,0,0,0,3,0,0,
Simon Adingra,11,ci CIV,LW,23-073,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Yankuba Minteh,17,gm GAM,RW,20-236,82,0,0,0,0,1,0,1,0,3,0,0,0,4,1,0,100.0
Brajan Gruda,8,de GER,RW,20-288,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Georginio Rutter,14,fr FRA,AM,22-329,74,0,0,0,1,2,0,0,1,1,0,0,0,4,0,2,0.0
Danny Welbeck,18,eng ENG,FW,34-109,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Diego Gómez,25,py PAR,DM,21-353,74,0,0,0,1,1,0,1,2,3,0,0,0,5,2,1,66.7
Yasin Ayari,26,se SWE,DM,21-160,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Carlos Baleba,20,cm CMR,DM,21-071,86,1,0,0,2,0,0,1,1,1,0,0,0,7,1,0,100.0
Mats Wieffer,27,nl NED,DM,25-119,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Pervis Estupiñán,30,ec ECU,LB,27-053,90,0,0,0,0,0,0,5,2,2,0,0,0,3,0,0,
Adam Webster,4,eng ENG,CB,30-070,90,0,0,0,1,0,0,0,1,0,0,1,0,1,2,1,66.7
Jan Paul van Hecke,29,nl NED,CB,24-280,90,0,0,0,0,2,0,0,0,0,0,0,0,2,1,3,25.0
Jack Hinshelwood,41,eng ENG,RB,19-338,90,0,0,0,0,1,0,1,2,2,0,0,0,3,1,0,100.0
Bart Verbruggen,1,nl NED,GK,22-209,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
