Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
João Pedro,9,br BRA,"FW,AM",23-170,90,30,29,1,0,1,0,0,1,0,0,0,0,21,0,0
Kaoru Mitoma,22,jp JPN,LW,27-299,82,17,17,0,0,0,0,2,0,0,0,0,0,12,0,1
Simon Adingra,11,ci CIV,LW,23-073,8,4,3,1,0,0,0,0,1,0,0,0,0,4,0,0
Yankuba Minteh,17,gm GAM,RW,20-236,82,18,17,1,0,0,0,1,1,0,0,0,0,10,0,2
Brajan Gruda,8,de GER,RW,20-288,8,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Georginio Rutter,14,fr FRA,AM,22-329,74,14,13,0,0,0,0,0,0,0,0,0,0,10,1,0
Danny Welbeck,18,eng ENG,FW,34-109,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Gómez,25,py PAR,DM,21-353,74,32,29,3,0,0,1,1,0,0,0,0,0,23,0,3
Yasin Ayari,26,se SWE,DM,21-160,16,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
Carlos Baleba,20,cm CMR,DM,21-071,86,32,32,0,0,0,0,1,0,0,0,0,0,24,0,3
Mats Wieffer,27,nl NED,DM,25-119,4,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Pervis Estupiñán,30,ec ECU,LB,27-053,90,48,32,16,1,0,0,5,10,5,1,2,2,39,0,2
Adam Webster,4,eng ENG,CB,30-070,90,55,50,5,0,0,0,0,0,0,0,0,0,44,0,0
Jan Paul van Hecke,29,nl NED,CB,24-280,90,28,22,6,6,0,0,0,0,0,0,0,0,24,0,0
Jack Hinshelwood,41,eng ENG,RB,19-338,90,33,23,10,1,0,0,1,9,0,0,0,0,26,0,2
Bart Verbruggen,1,nl NED,GK,22-209,90,39,34,5,2,0,0,0,0,0,0,0,0,24,0,0
