Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
João Pedro,9,br BRA,FW,23-064,71,25,23,1,1,0,0,0,0,0,0,0,0,22,1,0
Simon Adingra,11,ci CIV,"FW,RM",22-333,19,6,6,0,0,0,0,1,0,0,0,0,0,5,0,0
Danny Welbeck,18,eng ENG,FW,34-003,78,9,8,1,1,0,0,0,0,0,0,0,0,9,0,0
Evan Ferguson,28,ie IRL,FW,20-041,12,4,3,0,0,0,0,0,0,0,0,0,0,2,1,1
Kaoru Mitoma,22,jp JPN,LM,27-193,90,45,45,0,0,0,0,2,0,0,0,0,0,39,0,2
Yasin Ayari,26,se SWE,CM,21-054,90,51,47,4,2,1,0,4,0,2,2,0,0,45,0,0
Matt O'Riley,33,dk DEN,CM,24-008,71,23,18,5,1,1,1,3,0,2,2,0,0,17,0,2
Mats Wieffer,27,nl NED,CM,25-013,19,17,17,0,0,0,0,0,0,0,0,0,0,15,0,1
Georginio Rutter,14,fr FRA,"RM,FW",22-223,87,10,10,0,0,0,0,0,0,0,0,0,0,5,0,1
Yankuba Minteh,17,gm GAM,RM,20-130,3,9,5,4,1,0,0,3,2,1,0,0,0,7,0,1
Pervis Estupiñán,30,ec ECU,LB,26-313,90,82,74,8,2,0,1,15,4,2,2,0,0,65,0,1
Igor,3,br BRA,CB,26-296,90,78,73,5,1,1,0,1,1,0,0,0,0,72,0,0
Jan Paul van Hecke,29,nl NED,"CB,RB",24-174,90,65,57,7,5,0,2,1,2,0,0,0,0,60,1,0
Tariq Lamptey,2,gh GHA,RB,24-060,71,27,22,5,1,0,0,2,4,0,0,0,0,23,0,0
Lewis Dunk,5,eng ENG,CB,33-008,19,30,29,1,1,0,0,0,0,0,0,0,0,29,0,0
Bart Verbruggen,1,nl NED,GK,22-103,90,30,29,1,1,0,0,0,0,0,0,0,0,24,0,0
