Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
João Pedro,9,br BRA,FW,23-064,71,38,0,2,19,17,5,38,5,3,60.0,2,40.0,28,123,40,2,1,0,4,1,31,5
Simon Adingra,11,ci CIV,"FW,RM",22-333,19,9,0,1,1,7,4,9,2,1,50.0,1,50.0,8,69,32,1,1,0,1,0,9,4
Danny Welbeck,18,eng ENG,FW,34-003,78,19,1,2,5,12,5,19,3,1,33.3,2,66.7,12,56,25,0,0,1,1,2,13,2
Evan Ferguson,28,ie IRL,FW,20-041,12,5,0,0,4,1,0,5,0,0,,0,,3,15,11,1,0,0,1,0,3,2
Kaoru Mitoma,22,jp JPN,LM,27-193,90,56,0,3,21,34,5,56,3,1,33.3,1,33.3,35,246,178,8,4,2,2,0,45,12
Yasin Ayari,26,se SWE,CM,21-054,90,62,3,13,35,15,4,62,3,1,33.3,0,0.0,31,140,61,1,0,1,3,1,41,2
Matt O'Riley,33,dk DEN,CM,24-008,71,29,1,3,12,14,5,29,0,0,,0,,11,33,15,1,0,1,1,1,13,2
Mats Wieffer,27,nl NED,CM,25-013,19,23,1,2,14,7,1,23,0,0,,0,,9,37,18,0,1,0,0,0,13,0
Georginio Rutter,14,fr FRA,"RM,FW",22-223,87,22,0,1,5,16,8,22,3,2,66.7,1,33.3,13,134,69,3,3,1,0,2,16,5
Yankuba Minteh,17,gm GAM,RM,20-130,3,9,0,0,1,8,1,9,0,0,,0,,5,30,28,1,1,0,0,0,5,2
Pervis Estupiñán,30,ec ECU,LB,26-313,90,90,4,12,43,35,1,90,0,0,,0,,48,190,114,2,3,0,0,1,67,10
Igor,3,br BRA,CB,26-296,90,86,12,39,40,7,0,86,0,0,,0,,55,328,219,0,3,0,0,0,67,0
Jan Paul van Hecke,29,nl NED,"CB,RB",24-174,90,73,5,23,40,11,4,73,0,0,,0,,48,285,202,1,2,0,2,0,53,3
Tariq Lamptey,2,gh GHA,RB,24-060,71,38,3,15,18,5,0,38,2,0,0.0,2,100.0,20,138,69,3,0,0,0,0,19,3
Lewis Dunk,5,eng ENG,CB,33-008,19,33,4,9,18,7,1,33,0,0,,0,,17,126,88,0,2,0,0,0,24,0
Bart Verbruggen,1,nl NED,GK,22-103,90,31,28,31,0,0,0,31,0,0,,0,,23,77,51,0,0,0,0,0,19,0
