Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Danny Welbeck,18,eng ENG,FW,33-328,81,1,1,1,0,0,1,2,50.0,1,1,0,1,1,2,0,0
Jan Paul van Hecke,29,nl NED,CB,24-133,9,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0
Evan Ferguson,28,ie IRL,FW,20-000,59,1,1,0,1,0,0,1,0.0,1,1,1,0,0,1,1,0
Kaoru Mitoma,22,jp JPN,LM,27-152,31,2,2,0,2,0,1,2,50.0,1,0,0,0,0,2,1,0
Yasin Ayari,26,se SWE,"LM,FW",21-013,81,3,1,1,0,2,0,2,0.0,2,2,0,2,1,4,2,0
Julio Enciso,10,py PAR,FW,20-270,9,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Jack Hinshelwood,41,eng ENG,CM,19-191,90,2,2,1,1,0,1,1,100.0,0,1,1,0,1,3,4,0
Carlos Baleba,20,cm CMR,CM,20-290,71,2,0,1,1,0,1,2,50.0,1,3,2,1,1,3,1,0
Mats Wieffer,27,nl NED,CM,24-338,19,2,1,0,2,0,0,1,0.0,1,1,0,1,0,2,0,0
Georginio Rutter,14,fr FRA,RM,22-182,71,6,2,4,2,0,3,4,75.0,1,0,0,0,1,7,1,0
Pervis Estupiñán,30,ec ECU,LB,26-272,19,1,0,1,0,0,0,0,,0,0,0,0,1,2,2,0
Ferdi Kadioglu,24,tr TUR,"LB,RM",25-012,90,2,2,1,0,1,1,1,100.0,0,0,0,0,3,5,7,0
Igor,3,br BRA,CB,26-255,90,0,0,0,0,0,0,0,,0,2,1,1,0,0,7,0
Lewis Dunk,5,eng ENG,CB,32-333,90,2,1,2,0,0,0,0,,0,2,1,1,0,2,5,0
Joël Veltman,34,nl NED,RB,32-278,90,2,2,2,0,0,0,2,0.0,2,1,1,0,0,2,3,0
Bart Verbruggen,1,nl NED,GK,22-062,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
