Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Danny Welbeck,18,eng ENG,FW,33-335,72,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,100.0
Evan Ferguson,28,ie IRL,FW,20-007,18,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0
Georginio Rutter,14,fr FRA,FW,22-189,79,1,0,0,4,3,0,2,1,0,0,0,0,3,2,1,66.7
Tariq Lamptey,2,gh GHA,RB,24-026,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Kaoru Mitoma,22,jp JPN,LM,27-159,88,0,0,0,0,1,1,1,1,0,0,0,0,1,1,3,25.0
Julio Enciso,10,py PAR,LM,20-277,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Yasin Ayari,26,se SWE,CM,21-020,90,0,0,0,1,1,0,8,0,2,0,0,0,8,1,2,33.3
Carlos Baleba,20,cm CMR,CM,20-297,79,0,0,0,1,0,0,1,3,2,0,0,0,9,1,0,100.0
Mats Wieffer,27,nl NED,CM,24-345,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
Ferdi Kadioglu,24,tr TUR,RM,25-019,71,0,0,0,2,1,1,3,0,1,0,0,0,6,0,0,
Brajan Gruda,8,de GER,RM,20-148,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Pervis Estupiñán,30,ec ECU,LB,26-279,90,1,0,0,1,1,0,7,2,3,0,0,0,8,2,0,100.0
Igor,3,br BRA,CB,26-262,90,1,0,0,1,0,0,0,0,0,0,0,0,3,2,2,50.0
Jan Paul van Hecke,29,nl NED,CB,24-140,90,0,0,0,0,0,0,1,1,1,0,0,0,3,1,3,25.0
Joël Veltman,34,nl NED,"RB,CB",32-285,90,0,0,0,1,1,0,2,1,0,0,0,0,4,0,1,0.0
Bart Verbruggen,1,nl NED,GK,22-069,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
